Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
28.08.2025 14:45;28.08.2025 15:00;15.182,00;15.550,25;368,25;10.069,50
28.08.2025 15:00;28.08.2025 15:15;15.272,00;15.656,25;384,25;10.227,75
28.08.2025 15:15;28.08.2025 15:30;15.163,75;15.530,00;366,25;10.223,00
28.08.2025 15:30;28.08.2025 15:45;15.173,75;15.398,75;225,00;10.377,50
28.08.2025 15:45;28.08.2025 16:00;14.951,75;15.117,75;166,00;10.339,75
28.08.2025 16:00;28.08.2025 16:15;14.849,50;15.138,50;289,00;10.374,00
28.08.2025 16:15;28.08.2025 16:30;14.726,75;14.895,25;168,50;10.402,75
28.08.2025 16:30;28.08.2025 16:45;14.642,00;14.782,50;140,50;10.554,50
28.08.2025 16:45;28.08.2025 17:00;14.798,50;14.867,75;69,25;10.935,00
28.08.2025 17:00;28.08.2025 17:15;14.804,00;14.904,00;100,00;11.157,00
28.08.2025 17:15;28.08.2025 17:30;14.755,25;14.781,25;26,00;11.254,50
28.08.2025 17:30;28.08.2025 17:45;14.802,25;14.804,75;2,50;11.493,75
28.08.2025 17:45;28.08.2025 18:00;14.848,75;14.851,00;2,25;11.767,00
28.08.2025 18:00;28.08.2025 18:15;14.829,75;14.831,50;1,75;11.995,50
28.08.2025 18:15;28.08.2025 18:30;14.649,50;14.651,00;1,50;12.055,25
28.08.2025 18:30;28.08.2025 18:45;14.591,00;14.592,25;1,25;12.210,00
28.08.2025 18:45;28.08.2025 19:00;14.511,00;14.511,50;0,50;12.359,50
28.08.2025 19:00;28.08.2025 19:15;14.555,00;14.555,50;0,50;12.642,25
