,intercept_scaled,mef_scaled
2023-12-30 23:00:00+00:00,0.016744986601846156,0.22656828302486764
2023-12-30 23:15:00+00:00,0.003155490347735183,0.44596321617817614
2023-12-30 23:30:00+00:00,0.0002369201907718722,0.645279029951588
2023-12-30 23:45:00+00:00,0.00035686854839017007,0.6404269633207863
2023-12-31 00:00:00+00:00,0.023812032730825505,0.25544749552968365
2023-12-31 00:15:00+00:00,0.00010526899019826921,0.6310079528320853
2023-12-31 00:30:00+00:00,0.00032112936243087244,0.6397948089985309
2023-12-31 00:45:00+00:00,0.00030658515320972286,0.6446406090316552
2023-12-31 01:00:00+00:00,0.009453259659332238,0.4568464069197241
2023-12-31 01:15:00+00:00,0.000309537612056778,0.6283862083287207
2023-12-31 01:30:00+00:00,0.00019487414182060094,0.6384738708702961
2023-12-31 01:45:00+00:00,0.000252074335691431,0.6412351607657959
2023-12-31 02:00:00+00:00,0.025020846181781922,0.2579600331607121
2023-12-31 02:15:00+00:00,0.00036943036839901764,0.6198958421314469
2023-12-31 02:30:00+00:00,0.0015875244288148557,0.6095001586876141
2023-12-31 02:45:00+00:00,0.0010591237738902684,0.6345250192929667
2023-12-31 03:00:00+00:00,0.031045847544781513,0.2545049634909472
2023-12-31 03:15:00+00:00,0.0008705057138490825,0.6252039054426701
2023-12-31 03:30:00+00:00,0.007370886302384199,0.5557272237122808
2023-12-31 03:45:00+00:00,0.03436894908785761,0.2575986054613108
2023-12-31 04:00:00+00:00,0.024916361959191974,0.22220361658347876
2023-12-31 04:15:00+00:00,0.0010968573060893732,0.6365533104965345
2023-12-31 04:30:00+00:00,0.0015106204202293165,0.6466179473008873
2023-12-31 04:45:00+00:00,0.001459887531501591,0.6391399359105964
2023-12-31 05:00:00+00:00,0.014531539966898334,0.36758980783250206
2023-12-31 05:15:00+00:00,0.0018433399373103546,0.6604725640043949
2023-12-31 05:30:00+00:00,0.0014043615198488274,0.6502224452841083
2023-12-31 05:45:00+00:00,0.0013114916083722,0.6440639244243093
2023-12-31 06:00:00+00:00,0.026851046757572928,0.22366045072231844
2023-12-31 06:15:00+00:00,0.0006965792934045282,0.6195656165462179
2023-12-31 06:30:00+00:00,0.0010338152105018484,0.6376605799312094
2023-12-31 06:45:00+00:00,0.0011550561032826181,0.6433999986166664
2023-12-31 07:00:00+00:00,0.0243347470622032,0.22303336568102713
2023-12-31 07:15:00+00:00,0.0006095304769704866,0.6308972897364082
2023-12-31 07:30:00+00:00,0.0009285196214198074,0.6172319253176178
2023-12-31 07:45:00+00:00,0.0016239461263717542,0.46974014632019234
2023-12-31 08:00:00+00:00,0.00046047995152321744,0.4658262460448066
2023-12-31 08:15:00+00:00,0.0006692048459439374,0.615980145444988
2023-12-31 08:30:00+00:00,0.0008832186520025239,0.6391058795477472
2023-12-31 08:45:00+00:00,0.0008667876455643658,0.6421508964621695
2023-12-31 09:00:00+00:00,0.013805251007927422,0.34440628980097143
2023-12-31 09:15:00+00:00,0.00036780319348813663,0.6125490915356225
2023-12-31 09:30:00+00:00,0.0007687072223727439,0.6439683403129134
2023-12-31 09:45:00+00:00,3.823464857302702e-05,0.6575750693851197
2023-12-31 10:00:00+00:00,0.02836643784602591,0.2442356544407651
2023-12-31 10:15:00+00:00,0.0004649926984336269,0.6300885322277543
2023-12-31 10:30:00+00:00,0.0011296858599663478,0.6366612481996562
2023-12-31 10:45:00+00:00,0.0010802432691200373,0.6455515176284087
2023-12-31 11:00:00+00:00,0.029217435597083452,0.2470762919001159
2023-12-31 11:15:00+00:00,0.0006981115403647357,0.6105937349412166
2023-12-31 11:30:00+00:00,0.002036360944097602,0.6339876944004458
2023-12-31 11:45:00+00:00,0.0012788949485404897,0.6432556387762455
2023-12-31 12:00:00+00:00,0.0058852876354820805,0.4188482413767228
2023-12-31 12:15:00+00:00,9.97127498478493e-05,0.5686304491803965
2023-12-31 12:30:00+00:00,0.0008805284260217055,0.6314914681936974
2023-12-31 12:45:00+00:00,0.0010164027940562672,0.6389484765036683
2023-12-31 13:00:00+00:00,0.028909758781049646,0.24649503639272832
2023-12-31 13:15:00+00:00,0.0008163990302811982,0.6380995541673266
2023-12-31 13:30:00+00:00,0.0013003342607330573,0.6310691236313747
2023-12-31 13:45:00+00:00,0.0012429238571937673,0.6434052681358666
2023-12-31 14:00:00+00:00,0.0169031690648712,0.34675314166517435
2023-12-31 14:15:00+00:00,0.0006796299155615193,0.6142333186078912
2023-12-31 14:30:00+00:00,0.0012110184139282963,0.6383181571031734
2023-12-31 14:45:00+00:00,0.0012408197808197897,0.6420603865416676
2023-12-31 15:00:00+00:00,0.027621350884638754,0.26122760656712657
2023-12-31 15:15:00+00:00,0.000637540614016442,0.6198079090125768
2023-12-31 15:30:00+00:00,0.0014145828276280422,0.6430823046092097
2023-12-31 15:45:00+00:00,0.0014115682088497047,0.6370066457384405
2023-12-31 16:00:00+00:00,0.026908074580124293,0.24830318535715487
2023-12-31 16:15:00+00:00,0.0007050738243915165,0.6271047097612995
2023-12-31 16:30:00+00:00,0.0014117656340685647,0.6460109403776932
2023-12-31 16:45:00+00:00,0.0015078240586282668,0.6468019144468895
2023-12-31 17:00:00+00:00,0.031963144711298436,0.24375168675754214
2023-12-31 17:15:00+00:00,0.000980368865010489,0.6417666091488966
2023-12-31 17:30:00+00:00,0.0015259929500512567,0.6375267486475836
2023-12-31 17:45:00+00:00,0.002559150951383019,0.6550798964052691
2023-12-31 18:00:00+00:00,0.029071625649218114,0.2425597741203897
2023-12-31 18:15:00+00:00,0.0010875602811608218,0.6350169197649234
2023-12-31 18:30:00+00:00,0.0017918965995926085,0.6600658953647803
2023-12-31 18:45:00+00:00,0.0016513962063307648,0.6499323185406185
2023-12-31 19:00:00+00:00,0.03141231478262098,0.24153917743813602
2023-12-31 19:15:00+00:00,0.000443425921855882,0.5736875303580332
2023-12-31 19:30:00+00:00,0.001449774066354823,0.6253718804211174
2023-12-31 19:45:00+00:00,0.001639738756630091,0.6370683805824464
2023-12-31 20:00:00+00:00,0.0018409304327960943,0.6451845643673024
2023-12-31 20:15:00+00:00,0.0017504316080003753,0.6475657255434798
2023-12-31 20:30:00+00:00,0.001948375551412316,0.631415161253868
2023-12-31 20:45:00+00:00,0.0016187168006504865,0.6421666357880316
2023-12-31 21:00:00+00:00,0.03298972069606203,0.24168733293158098
2023-12-31 21:15:00+00:00,0.0011571863264486864,0.6205157290559249
2023-12-31 21:30:00+00:00,0.0016476177567084245,0.635946991913676
2023-12-31 21:45:00+00:00,0.0017264399924384962,0.6458800157721549
2023-12-31 22:00:00+00:00,0.02312850841751055,0.23902702709004223
2023-12-31 22:15:00+00:00,0.0003655723815975735,0.5016503234860085
2023-12-31 22:30:00+00:00,0.0011896583098448623,0.6086157644260277
2023-12-31 22:45:00+00:00,0.0015069971317536286,0.6367486765655055
2023-12-31 23:00:00+00:00,0.023971183297606204,0.23951426159544897
2023-12-31 23:15:00+00:00,0.0012471520376095546,0.6310387533165758
2023-12-31 23:30:00+00:00,0.0015554067658543821,0.6409999972019726
2023-12-31 23:45:00+00:00,0.0016340628099421497,0.6557255279728748
2024-01-01 00:00:00+00:00,0.026194154503385515,0.23969292665608602
2024-01-01 00:15:00+00:00,0.0008195799377535076,0.49409162634276166
2024-01-01 00:30:00+00:00,0.0013872268341967558,0.604472497827762
2024-01-01 00:45:00+00:00,0.0017944122710268672,0.5902198839373082
2024-01-01 01:00:00+00:00,0.0022350116544191676,0.6490719671111843
2024-01-01 01:15:00+00:00,0.0017490500798247879,0.6498639823305825
2024-01-01 01:30:00+00:00,0.0017224015689538369,0.6379775357396827
2024-01-01 01:45:00+00:00,0.001890015190516061,0.5981892863726546
2024-01-01 02:00:00+00:00,0.011251541209823702,0.36663427315196884
2024-01-01 02:15:00+00:00,0.001249014303439132,0.6204957458504459
2024-01-01 02:30:00+00:00,0.001864224323838968,0.6478264901571762
2024-01-01 02:45:00+00:00,0.001981403464650273,0.6473051240114476
2024-01-01 03:00:00+00:00,0.025016124322136995,0.26223086469027834
2024-01-01 03:15:00+00:00,0.0010671479998581273,0.6200715023729313
2024-01-01 03:30:00+00:00,0.0016762036899779654,0.6369819539772382
2024-01-01 03:45:00+00:00,0.0017569306735607262,0.6459124388123471
2024-01-01 04:00:00+00:00,0.02299682260298888,0.2812878349383935
2024-01-01 04:15:00+00:00,0.0008713684472218755,0.6118202820080905
2024-01-01 04:30:00+00:00,0.0014721677810118198,0.6054975151906608
2024-01-01 04:45:00+00:00,0.0014767204852138053,0.6376165160927476
2024-01-01 05:00:00+00:00,0.012050449663269647,0.3630211714641304
2024-01-01 05:15:00+00:00,0.0007585253346377374,0.6263729833686141
2024-01-01 05:30:00+00:00,0.001573871360635152,0.6475614430835345
2024-01-01 05:45:00+00:00,0.0014891758277970407,0.6470232598730031
2024-01-01 06:00:00+00:00,0.017360327514327707,0.337606660114358
2024-01-01 06:15:00+00:00,0.0008820836229475444,0.6295248311741491
2024-01-01 06:30:00+00:00,0.0014492872991151101,0.6370629018176279
2024-01-01 06:45:00+00:00,0.0017562552165242575,0.6103318666934693
2024-01-01 07:00:00+00:00,0.0007990946814021025,0.48375935228346506
2024-01-01 07:15:00+00:00,0.0013498479929458347,0.6473961136166418
2024-01-01 07:30:00+00:00,0.0016132134596283472,0.6472002794918896
2024-01-01 07:45:00+00:00,0.0015608554169459063,0.6466156916945741
2024-01-01 08:00:00+00:00,0.032815717876154255,0.23627435428198926
2024-01-01 08:15:00+00:00,0.0009344818311456107,0.6317220904265515
2024-01-01 08:30:00+00:00,0.0016834301594295146,0.6429692774605174
2024-01-01 08:45:00+00:00,0.0018742469248770864,0.6430510829412088
2024-01-01 09:00:00+00:00,0.027177713062693332,0.23428160169686849
2024-01-01 09:15:00+00:00,0.0021332852927715244,0.6710045067145012
2024-01-01 09:30:00+00:00,0.00186032155788871,0.6332302236713367
2024-01-01 09:45:00+00:00,0.001922608087768279,0.6530057397041771
2024-01-01 10:00:00+00:00,0.02728477231632321,0.23453979718171308
2024-01-01 10:15:00+00:00,0.0008776813538913346,0.6311041134124542
2024-01-01 10:30:00+00:00,0.0016776583535630643,0.6439120535851216
2024-01-01 10:45:00+00:00,0.0017688774251787404,0.6480060894569027
2024-01-01 11:00:00+00:00,0.004838107661911223,0.4075427280224429
2024-01-01 11:15:00+00:00,0.0005836213160384295,0.622571076121697
2024-01-01 11:30:00+00:00,0.001476735038823644,0.6415535404010327
2024-01-01 11:45:00+00:00,0.0016557769386810958,0.6459216690364671
2024-01-01 12:00:00+00:00,0.031496832076244624,0.23293288726822634
2024-01-01 12:15:00+00:00,0.0008037624402894182,0.6298490771517761
2024-01-01 12:30:00+00:00,0.0016419849792755617,0.642258489747014
2024-01-01 12:45:00+00:00,0.007050656897962697,0.594995507275768
2024-01-01 13:00:00+00:00,0.028862939670267897,0.23115686417303521
