,mef_t_MWh,mef_g_kWh,intercept
2023-12-30 23:00:00+00:00,0.7719015114480294,771.9015114480294,0.1435889185731489
2023-12-30 23:15:00+00:00,0.8994020031633102,899.4020031633102,-0.06526997005686679
2023-12-30 23:30:00+00:00,0.8972872657550508,897.2872657550508,-0.02226414399740398
2023-12-30 23:45:00+00:00,0.8996037119848412,899.6037119848412,-0.0533479892436672
2023-12-31 00:00:00+00:00,0.41600891593346484,416.00891593346483,-2.130526794089295
2023-12-31 00:15:00+00:00,0.8958106625451848,895.8106625451849,0.04371439099568185
2023-12-31 00:30:00+00:00,0.8993343087610921,899.3343087610921,-0.06394791592624165
2023-12-31 00:45:00+00:00,0.8994362796165448,899.4362796165448,-0.05214825529605773
2023-12-31 01:00:00+00:00,0.899815819133743,899.8158191337429,-0.061253278915854525
2023-12-31 01:15:00+00:00,0.8995206442690162,899.5206442690162,-0.05873411552995332
2023-12-31 01:30:00+00:00,0.8377138235289372,837.7138235289372,0.5302315226397587
2023-12-31 01:45:00+00:00,0.8987165170004505,898.7165170004505,-0.06822619685423474
2023-12-31 02:00:00+00:00,0.8188058660877403,818.8058660877404,0.4841190994106919
2023-12-31 02:15:00+00:00,0.8993316810459194,899.3316810459195,-0.06691089168600928
2023-12-31 02:30:00+00:00,0.8985895578512997,898.5895578512997,-0.049396929785439865
2023-12-31 02:45:00+00:00,0.8951966245970348,895.1966245970348,-0.022185952374801237
2023-12-31 03:00:00+00:00,0.5343323967945769,534.3323967945769,-1.1366771402601359
2023-12-31 03:15:00+00:00,0.8984371599171325,898.4371599171325,-0.027312451494228666
2023-12-31 03:30:00+00:00,0.8994380948231082,899.4380948231083,-0.0621917606380085
2023-12-31 03:45:00+00:00,0.8992743416598699,899.2743416598698,-0.05634970869541531
2023-12-31 04:00:00+00:00,0.40933571743639136,409.33571743639135,-2.415615956414872
2023-12-31 04:15:00+00:00,0.8980631913437561,898.0631913437561,0.007456005892940246
2023-12-31 04:30:00+00:00,0.8987854272481389,898.785427248139,-0.06903803543477051
2023-12-31 04:45:00+00:00,0.8953630579917566,895.3630579917566,-0.025597786860508474
2023-12-31 05:00:00+00:00,0.8369108536725675,836.9108536725674,0.6452285195514291
2023-12-31 05:15:00+00:00,0.8981451469159083,898.1451469159083,-0.07715001140991821
2023-12-31 05:30:00+00:00,0.8963228094146057,896.3228094146058,-0.03177503260484179
2023-12-31 05:45:00+00:00,0.8989178683286554,898.9178683286553,-0.06589412209906546
2023-12-31 06:00:00+00:00,0.8279491369520777,827.9491369520778,0.6230020764676618
2023-12-31 06:15:00+00:00,0.8958174012314926,895.8174012314926,-0.05039504305757255
2023-12-31 06:30:00+00:00,0.896006416388592,896.006416388592,-0.04277361182856974
2023-12-31 06:45:00+00:00,0.8934177862601073,893.4177862601073,-0.010603670420942376
2023-12-31 07:00:00+00:00,0.8083407123304905,808.3407123304905,0.37329662994996055
2023-12-31 07:15:00+00:00,0.894365417785953,894.365417785953,-0.055776323712198476
2023-12-31 07:30:00+00:00,0.8961539626317897,896.1539626317897,-0.06305722923858785
2023-12-31 07:45:00+00:00,0.8969789596507692,896.9789596507692,-0.07318988242635552
