datetime,total_emissions,estimated_emissions
2022-12-23 23:15:00+00:00,-2.1005389157630656,
2022-12-23 23:30:00+00:00,-1.6717688211798154,
2022-12-23 23:45:00+00:00,-2.069440450154128,
2022-12-24 00:00:00+00:00,-0.5011059564133091,
2022-12-24 00:15:00+00:00,-0.5042158029742002,
2022-12-24 00:30:00+00:00,0.03689749862134717,
2022-12-24 00:45:00+00:00,-0.9850758274524251,
2022-12-24 01:00:00+00:00,-0.2107240337898325,
2022-12-24 01:15:00+00:00,0.7294214546504129,
2022-12-24 01:30:00+00:00,-0.3611628611730812,
2022-12-24 01:45:00+00:00,-0.5668014650121912,
2022-12-24 02:00:00+00:00,-0.766609106549626,
2022-12-24 02:15:00+00:00,0.12047462494537077,
2022-12-24 02:30:00+00:00,-0.08807946004457906,
2022-12-24 02:45:00+00:00,0.08393392785486492,
2022-12-24 03:00:00+00:00,0.6417626547152152,
2022-12-24 03:15:00+00:00,0.09093108261687874,
2022-12-24 03:30:00+00:00,0.015322938105143024,
2022-12-24 03:45:00+00:00,-0.025493798006592516,
2022-12-24 04:00:00+00:00,2.58561112068398,
2022-12-24 04:15:00+00:00,-0.06067393722669966,
2022-12-24 04:30:00+00:00,0.4178537023308524,
2022-12-24 04:45:00+00:00,0.5025970211152101,
2022-12-24 05:00:00+00:00,3.514677780751042,
2022-12-24 05:15:00+00:00,1.2096983828984704,
2022-12-24 05:30:00+00:00,-0.0976033651373169,
2022-12-24 05:45:00+00:00,0.03028907467944473,
2022-12-24 06:00:00+00:00,1.0703383838884097,
2022-12-24 06:15:00+00:00,3.643347682208031,
2022-12-24 06:30:00+00:00,3.008744618375606,
2022-12-24 06:45:00+00:00,1.64993603667502,
2022-12-24 07:00:00+00:00,-3.9742214687016633,
2022-12-24 07:15:00+00:00,0.03223272878000609,
2022-12-24 07:30:00+00:00,0.08471138949508769,
2022-12-24 07:45:00+00:00,0.007548321702910841,
2022-12-24 08:00:00+00:00,-0.41752883008928554,
2022-12-24 08:15:00+00:00,0.4291268961140959,
2022-12-24 08:30:00+00:00,0.007548321702910841,
2022-12-24 08:45:00+00:00,0.15993080318670763,
2022-12-24 09:00:00+00:00,-0.2563999051529604,
2022-12-24 09:15:00+00:00,0.16537303466826705,
2022-12-24 09:30:00+00:00,-0.10207376956859787,
2022-12-24 09:45:00+00:00,0.048170692404581855,
2022-12-24 10:00:00+00:00,0.4672225164850473,
2022-12-24 10:15:00+00:00,-0.04726272393284793,
2022-12-24 10:30:00+00:00,0.04583830748391352,
2022-12-24 10:45:00+00:00,0.12572249101687893,
2022-12-24 11:00:00+00:00,0.3300005369855947,
2022-12-24 11:15:00+00:00,0.03028907467944915,
2022-12-24 11:30:00+00:00,0.14749141694313433,
2022-12-24 11:45:00+00:00,0.22504321555543144,
2022-12-24 12:00:00+00:00,-0.30110394946581426,
2022-12-24 12:15:00+00:00,1.2328278666951114,
2022-12-24 12:30:00+00:00,0.46061409254314484,
2022-12-24 12:45:00+00:00,0.1537111100649254,
2022-12-24 13:00:00+00:00,-1.0340559107865042,
2022-12-24 13:15:00+00:00,0.23340092818783073,
2022-12-24 13:30:00+00:00,0.07071707997106888,
2022-12-24 13:45:00+00:00,-0.061645764276986974,
2022-12-24 14:00:00+00:00,0.003466648091736845,
2022-12-24 14:15:00+00:00,0.5315574672135395,
2022-12-24 14:30:00+00:00,-0.002364314209942818,
2022-12-24 14:45:00+00:00,0.028734151398994757,
2022-12-24 15:00:00+00:00,-0.5666070996021311,
2022-12-24 15:15:00+00:00,-0.3259827219529696,
2022-12-24 15:30:00+00:00,-0.0062516224110567,
2022-12-24 15:45:00+00:00,0.1424379162816863,
2022-12-24 16:00:00+00:00,-0.21694372691162359,
2022-12-24 16:15:00+00:00,-0.13317223517754428,
2022-12-24 16:30:00+00:00,-0.3248165294926266,
2022-12-24 16:45:00+00:00,-0.0521218591842447,
2022-12-24 17:00:00+00:00,-0.11801173319318248,
2022-12-24 17:15:00+00:00,-0.011305123072513587,
2022-12-24 17:30:00+00:00,-0.04920637803340487,
2022-12-24 17:45:00+00:00,-0.056980994435641474,
2022-12-24 18:00:00+00:00,-0.6548489957675047,
2022-12-24 18:15:00+00:00,0.11717041297441955,
2022-12-24 18:30:00+00:00,-0.0665048995283749,
2022-12-24 18:45:00+00:00,0.017655323025815774,
2022-12-24 19:00:00+00:00,0.19122363420570532,
2022-12-24 19:15:00+00:00,-0.14308487109038912,
