,mef_t_MWh,mef_g_kWh,intercept
2023-12-30 23:00:00+00:00,0.0983389795696051,98.3389795696051,0.07669096031816472
2023-12-30 23:15:00+00:00,0.7871027460132863,787.1027460132864,0.00730779959455779
2023-12-30 23:30:00+00:00,0.7784663130020913,778.4663130020914,0.008314727378963532
2023-12-30 23:45:00+00:00,0.7843816275749939,784.3816275749939,0.008709100335724933
2023-12-31 00:00:00+00:00,0.19602775888337298,196.027758883373,0.1337089328260802
2023-12-31 00:15:00+00:00,0.7817894146801544,781.7894146801544,0.004661343107245166
2023-12-31 00:30:00+00:00,0.7838168265325878,783.8168265325878,0.009071908331438535
2023-12-31 00:45:00+00:00,0.784067908684481,784.0679086844809,0.008767555529643119
2023-12-31 01:00:00+00:00,0.11658601463146358,116.58601463146358,0.20227096230681704
2023-12-31 01:15:00+00:00,0.7872322890690477,787.2322890690477,0.006968835734607886
2023-12-31 01:30:00+00:00,0.7878806410741519,787.8806410741519,0.0051157545074527275
2023-12-31 01:45:00+00:00,0.7841457779105357,784.1457779105358,0.008728670491487178
2023-12-31 02:00:00+00:00,0.7760205599171562,776.0205599171562,0.01192847479024349
2023-12-31 02:15:00+00:00,0.7789571547641193,778.9571547641193,0.008219773799071592
2023-12-31 02:30:00+00:00,0.777727746917216,777.727746917216,0.008478799085932864
2023-12-31 02:45:00+00:00,0.782449715906537,782.449715906537,0.009350738231174093
2023-12-31 03:00:00+00:00,0.05128912089069964,51.28912089069964,0.31647255607637037
2023-12-31 03:15:00+00:00,0.7872811519134119,787.2811519134118,0.007099283070266657
2023-12-31 03:30:00+00:00,0.7835363727666026,783.5363727666025,0.009026559338772853
2023-12-31 03:45:00+00:00,0.7803279026522888,780.3279026522888,0.010251600918355117
2023-12-31 04:00:00+00:00,0.06147725111325203,61.47725111325203,0.317667008821689
2023-12-31 04:15:00+00:00,0.7873052148191471,787.3052148191471,0.007025411653288767
2023-12-31 04:30:00+00:00,0.7841362660040483,784.1362660040483,0.008872325993274054
2023-12-31 04:45:00+00:00,0.7841379054357553,784.1379054357553,0.008858126230461384
2023-12-31 05:00:00+00:00,0.05781265363262743,57.81265363262743,0.29616402915800605
2023-12-31 05:15:00+00:00,0.7824358520835872,782.4358520835872,0.006621559233433452
2023-12-31 05:30:00+00:00,0.788004435118947,788.0044351189471,0.005074911227051742
2023-12-31 05:45:00+00:00,0.7843278156223237,784.3278156223237,0.008761669225602346
2023-12-31 06:00:00+00:00,-0.015105513514028616,-15.105513514028615,0.28467255293057175
2023-12-31 06:15:00+00:00,0.7874427989284141,787.442798928414,0.007122699142801222
2023-12-31 06:30:00+00:00,0.739125467065812,739.1254670658119,0.023733151393228562
2023-12-31 06:45:00+00:00,0.7846439550605339,784.6439550605338,0.0085574000263454
2023-12-31 07:00:00+00:00,0.048876964371993424,48.876964371993424,0.27898654307826043
2023-12-31 07:15:00+00:00,0.7874848659075673,787.4848659075673,0.006713215213921958
2023-12-31 07:30:00+00:00,0.7813483124584555,781.3483124584554,0.009474630130033378
2023-12-31 07:45:00+00:00,0.7840429935507189,784.042993550719,0.00846956027025473
2023-12-31 08:00:00+00:00,0.09215323265897607,92.15323265897607,0.18326235769234867
2023-12-31 08:15:00+00:00,0.7875131744559758,787.5131744559758,0.006647148401558242
2023-12-31 08:30:00+00:00,0.7841159545268345,784.1159545268345,0.008180118379572247
2023-12-31 08:45:00+00:00,0.7820201551552959,782.0201551552959,0.008502036607350539
2023-12-31 09:00:00+00:00,0.6618099133869586,661.8099133869586,-0.22812765341936014
2023-12-31 09:15:00+00:00,0.7872897268721191,787.2897268721191,0.0059364395959726375
2023-12-31 09:30:00+00:00,0.5773845548151609,577.384554815161,0.05665073824596829
2023-12-31 09:45:00+00:00,0.7848286037484815,784.8286037484816,0.00666875219529631
2023-12-31 10:00:00+00:00,0.660295294839149,660.2952948391489,-0.22130938515207238
2023-12-31 10:15:00+00:00,0.7874586628271879,787.4586628271879,0.00587663638586269
2023-12-31 10:30:00+00:00,0.7767382378857836,776.7382378857835,0.009228780121492393
2023-12-31 10:45:00+00:00,0.649509626342642,649.5096263426419,0.03797559217815586
2023-12-31 11:00:00+00:00,0.2935206322818484,293.5206322818484,-0.010465800371794133
2023-12-31 11:15:00+00:00,0.787494765032033,787.494765032033,0.006220460288403314
2023-12-31 11:30:00+00:00,0.7847027754226439,784.7027754226439,0.008383921549964216
2023-12-31 11:45:00+00:00,0.7844957205635582,784.4957205635582,0.008505534237513374
2023-12-31 12:00:00+00:00,0.054190814612738766,54.19081461273877,0.2994005427614116
2023-12-31 12:15:00+00:00,0.7875834719509477,787.5834719509477,0.007009104868304826
2023-12-31 12:30:00+00:00,0.7852109841710775,785.2109841710775,0.014281691834733103
2023-12-31 12:45:00+00:00,0.7847041795309324,784.7041795309324,0.00843913372911504
2023-12-31 13:00:00+00:00,0.0524809143881284,52.480914388128404,0.31629002461521866
2023-12-31 13:15:00+00:00,0.787926512212242,787.926512212242,0.006760791865866622
2023-12-31 13:30:00+00:00,0.7818596618296927,781.8596618296926,0.00979490609823076
