datetime,lignite_generation,hard_coal_generation,fossil_gas_generation,other_conventional_generation,lignite_emissions,hard_coal_emissions,fossil_gas_emissions,other_conventional_emission,total_generation,delta_generation,total_emissions,delta_emissions
2022-12-23 23:15:00+00:00,2.75,126.0,119.0,83.75,2.5783,95.0755,120.5929,153.095,331.5,-0.5,371.34,1.8699999999999477
2022-12-23 23:30:00+00:00,2.75,126.0,120.5,83.75,2.614,95.7414,122.6708,153.2468,333.0,1.5,374.27,2.930000000000007
2022-12-23 23:45:00+00:00,2.75,126.0,120.0,83.75,2.6496,96.4074,122.7173,153.3986,332.5,-0.5,375.17,0.9000000000000341
2022-12-24 00:00:00+00:00,2.75,125.75,120.25,83.75,2.647,97.3939,125.5931,154.4028,332.5,0.0,380.04,4.8700000000000045
2022-12-24 00:15:00+00:00,2.75,125.75,119.25,83.75,2.7101,97.7301,123.7474,153.987,331.5,-1.0,378.17,-1.8700000000000045
2022-12-24 00:30:00+00:00,2.75,125.75,118.75,83.75,2.7733,98.0663,122.4306,153.5712,331.0,-0.5,376.84,-1.330000000000041
2022-12-24 00:45:00+00:00,2.75,125.75,117.5,83.75,2.8364,98.4025,120.3523,153.1554,329.75,-1.25,374.75,-2.089999999999975
2022-12-24 01:00:00+00:00,2.75,125.0,118.5,83.75,3.0257,98.7059,116.4996,151.5595,330.0,0.25,369.79,-4.9599999999999795
2022-12-24 01:15:00+00:00,2.75,125.0,118.5,83.75,3.0108,98.674,118.4429,151.935,330.0,0.0,372.06,2.269999999999982
2022-12-24 01:30:00+00:00,2.75,125.0,119.25,83.75,2.9959,98.6421,121.1481,152.3104,330.75,0.75,375.1,3.0400000000000205
2022-12-24 01:45:00+00:00,2.75,125.0,119.75,83.75,2.9811,98.6102,123.6198,152.6859,331.25,0.5,377.9,2.7999999999999545
2022-12-24 02:00:00+00:00,2.0,124.0,121.0,82.0,2.1149,97.2911,130.5929,150.1354,329.0,-2.25,380.13,2.230000000000018
2022-12-24 02:15:00+00:00,2.0,124.0,121.25,82.0,2.1325,97.5919,130.5186,150.3252,329.25,0.25,380.57,0.4399999999999977
2022-12-24 02:30:00+00:00,2.0,124.0,120.5,82.0,2.1501,97.8928,129.3693,150.5149,328.5,-0.75,379.93,-0.6399999999999864
2022-12-24 02:45:00+00:00,2.0,124.0,119.75,82.0,2.1677,98.1936,128.2242,150.7047,327.75,-0.75,379.29,-0.6399999999999864
2022-12-24 03:00:00+00:00,2.0,122.75,121.0,81.5,2.0995,97.6576,128.4891,149.4995,327.25,-0.5,377.75,-1.5400000000000205
2022-12-24 03:15:00+00:00,2.0,122.75,121.5,81.5,2.1749,97.8551,129.1685,150.0056,327.75,0.5,379.2,1.4499999999999886
2022-12-24 03:30:00+00:00,2.0,122.75,122.0,81.5,2.2503,98.0526,129.849,150.5117,328.25,0.5,380.66,1.4600000000000364
2022-12-24 03:45:00+00:00,2.0,122.75,121.5,81.5,2.3257,98.2501,129.4652,151.0177,327.75,-0.5,381.06,0.39999999999997726
2022-12-24 04:00:00+00:00,2.75,127.75,124.0,81.0,3.3462,99.4586,130.4468,149.5459,335.5,7.75,382.8,1.740000000000009
2022-12-24 04:15:00+00:00,2.75,127.75,123.0,81.0,3.435,101.6651,130.7712,150.7545,334.5,-1.0,386.63,3.829999999999984
2022-12-24 04:30:00+00:00,2.75,127.75,121.5,81.0,3.5237,103.8717,130.5361,151.9632,333.0,-1.5,389.89,3.259999999999991
2022-12-24 04:45:00+00:00,2.75,127.75,120.0,81.0,3.6125,106.0782,130.2674,153.1719,331.5,-1.5,393.13,3.240000000000009
2022-12-24 05:00:00+00:00,4.25,134.5,123.25,82.25,6.1557,117.6395,142.8367,155.6735,344.25,12.75,422.31,29.180000000000007
2022-12-24 05:15:00+00:00,4.25,134.5,122.75,82.25,6.0171,117.7466,138.5825,157.6668,343.75,-0.5,420.01,-2.3000000000000114
2022-12-24 05:30:00+00:00,4.25,134.5,122.5,82.25,5.8785,117.8537,134.6331,159.6601,343.5,-0.25,418.03,-1.9800000000000182
2022-12-24 05:45:00+00:00,4.25,134.75,122.5,82.25,5.7399,118.18,130.9658,161.6534,343.75,0.25,416.54,-1.4899999999999523
2022-12-24 06:00:00+00:00,4.25,143.0,141.75,81.75,5.6631,125.6872,146.8181,165.6057,370.75,27.0,443.77,27.22999999999996
2022-12-24 06:15:00+00:00,4.25,165.0,141.75,81.75,5.4958,145.0334,143.3487,165.7192,392.75,22.0,459.6,15.830000000000041
2022-12-24 06:30:00+00:00,4.25,185.25,142.5,81.75,5.3284,162.8438,140.6193,165.8326,413.75,21.0,474.62,15.019999999999982
2022-12-24 06:45:00+00:00,4.25,197.5,142.5,81.75,5.161,173.6237,137.1315,165.946,426.0,12.25,481.86,7.240000000000009
