,mef_t_MWh,mef_g_kWh,intercept
2023-12-30 23:00:00+00:00,0.4571269020899325,457.1269020899325,0.030482367572285878
2023-12-30 23:15:00+00:00,0.7674317125427972,767.4317125427972,0.0010576636931183651
2023-12-30 23:30:00+00:00,0.6898157083090211,689.815708309021,0.03974350536462121
2023-12-30 23:45:00+00:00,0.6979909195520693,697.9909195520693,0.039813655496457254
2023-12-31 00:00:00+00:00,0.45171279976647905,451.71279976647907,0.1099296391049581
2023-12-31 00:15:00+00:00,0.7006365987993891,700.6365987993892,-0.003959926255939344
2023-12-31 00:30:00+00:00,0.6977597590859451,697.7597590859451,0.04085008362737944
2023-12-31 00:45:00+00:00,0.7638834856672478,763.8834856672479,0.003061697475012573
2023-12-31 01:00:00+00:00,0.45208563658857726,452.08563658857724,0.05971267625662382
2023-12-31 01:15:00+00:00,0.7614600001610144,761.4600001610145,0.00442395888174631
2023-12-31 01:30:00+00:00,0.767147147079835,767.147147079835,0.000937954466654854
2023-12-31 01:45:00+00:00,0.7641615385420276,764.1615385420276,0.0014047153372734565
2023-12-31 02:00:00+00:00,0.6842385189010547,684.2385189010547,0.014494478011216252
2023-12-31 02:15:00+00:00,0.7674219843295859,767.4219843295858,0.0009593597172340065
2023-12-31 02:30:00+00:00,0.6820508115148454,682.0508115148453,0.014998728850400584
2023-12-31 02:45:00+00:00,0.7647539503980397,764.7539503980397,0.0014416617911677974
2023-12-31 03:00:00+00:00,0.6902340575001771,690.2340575001771,0.011945248707086206
2023-12-31 03:15:00+00:00,0.7646607178029271,764.6607178029271,0.0008282732985622418
2023-12-31 03:30:00+00:00,0.6922815239298469,692.2815239298469,0.010399772107239788
2023-12-31 03:45:00+00:00,0.6922953405602863,692.2953405602863,0.009784868281191385
2023-12-31 04:00:00+00:00,0.4520814117263646,452.08141172636465,0.06874509561794666
2023-12-31 04:15:00+00:00,0.6939956581944752,693.9956581944751,0.00026496815802361717
2023-12-31 04:30:00+00:00,0.6919042658468759,691.9042658468759,0.010032401535692018
2023-12-31 04:45:00+00:00,0.6919686759516751,691.9686759516751,0.01012631699656656
2023-12-31 05:00:00+00:00,0.6925798296298932,692.5798296298932,-0.0013290525329838722
2023-12-31 05:15:00+00:00,0.6865898824596718,686.5898824596718,0.009899295707603343
2023-12-31 05:30:00+00:00,0.460522850064274,460.522850064274,0.12849376255600964
2023-12-31 05:45:00+00:00,0.6795722458546305,679.5722458546305,0.026674601925417357
2023-12-31 06:00:00+00:00,0.4600266416899048,460.0266416899048,0.12921039391872158
