Datum von;Datum bis;Generation_DE GT41 [MW] Berechnete Auflösungen;Generation_DE Block 20 [MW] Berechnete Auflösungen
29.08.2025 02:30;29.08.2025 02:45;-;0,000
29.08.2025 02:45;29.08.2025 03:00;-;0,000
29.08.2025 03:00;29.08.2025 03:15;-;0,000
29.08.2025 03:15;29.08.2025 03:30;-;0,000
29.08.2025 03:30;29.08.2025 03:45;-;0,000
29.08.2025 03:45;29.08.2025 04:00;-;0,000
29.08.2025 04:00;29.08.2025 04:15;-;0,000
29.08.2025 04:15;29.08.2025 04:30;-;0,000
29.08.2025 04:30;29.08.2025 04:45;-;0,000
29.08.2025 04:45;29.08.2025 05:00;-;0,000
29.08.2025 05:00;29.08.2025 05:15;-;0,000
29.08.2025 05:15;29.08.2025 05:30;-;0,000
29.08.2025 05:30;29.08.2025 05:45;-;0,000
29.08.2025 05:45;29.08.2025 06:00;-;0,000
29.08.2025 06:00;29.08.2025 06:15;-;0,000
29.08.2025 06:15;29.08.2025 06:30;-;0,000
29.08.2025 06:30;29.08.2025 06:45;-;0,000
29.08.2025 06:45;29.08.2025 07:00;-;0,000
29.08.2025 07:00;29.08.2025 07:15;-;0,000
29.08.2025 07:15;29.08.2025 07:30;-;0,000
29.08.2025 07:30;29.08.2025 07:45;-;0,000
29.08.2025 07:45;29.08.2025 08:00;-;0,000
29.08.2025 08:00;29.08.2025 08:15;-;0,000
29.08.2025 08:15;29.08.2025 08:30;-;0,000
29.08.2025 08:30;29.08.2025 08:45;-;0,000
29.08.2025 08:45;29.08.2025 09:00;-;0,000
29.08.2025 09:00;29.08.2025 09:15;-;0,000
29.08.2025 09:15;29.08.2025 09:30;-;0,000
29.08.2025 09:30;29.08.2025 09:45;-;0,000
29.08.2025 09:45;29.08.2025 10:00;-;0,000
29.08.2025 10:00;29.08.2025 10:15;-;0,000
29.08.2025 10:15;29.08.2025 10:30;-;0,000
29.08.2025 10:30;29.08.2025 10:45;-;0,000
29.08.2025 10:45;29.08.2025 11:00;-;0,000
29.08.2025 11:00;29.08.2025 11:15;-;0,000
29.08.2025 11:15;29.08.2025 11:30;-;0,000
29.08.2025 11:30;29.08.2025 11:45;-;0,000
29.08.2025 11:45;29.08.2025 12:00;-;0,000
29.08.2025 12:00;29.08.2025 12:15;-;0,000
29.08.2025 12:15;29.08.2025 12:30;-;0,000
29.08.2025 12:30;29.08.2025 12:45;-;0,000
29.08.2025 12:45;29.08.2025 13:00;-;0,000
29.08.2025 13:00;29.08.2025 13:15;-;0,000
29.08.2025 13:15;29.08.2025 13:30;-;0,000
29.08.2025 13:30;29.08.2025 13:45;-;0,000
29.08.2025 13:45;29.08.2025 14:00;-;0,000
29.08.2025 14:00;29.08.2025 14:15;-;0,000
29.08.2025 14:15;29.08.2025 14:30;-;0,000
29.08.2025 14:30;29.08.2025 14:45;-;0,000
29.08.2025 14:45;29.08.2025 15:00;-;0,000
29.08.2025 15:00;29.08.2025 15:15;-;2,750
29.08.2025 15:15;29.08.2025 15:30;-;2,750
29.08.2025 15:30;29.08.2025 15:45;-;2,750
29.08.2025 15:45;29.08.2025 16:00;-;2,750
29.08.2025 16:00;29.08.2025 16:15;-;8,250
29.08.2025 16:15;29.08.2025 16:30;-;8,250
29.08.2025 16:30;29.08.2025 16:45;-;8,250
29.08.2025 16:45;29.08.2025 17:00;-;8,250
29.08.2025 17:00;29.08.2025 17:15;-;8,250
29.08.2025 17:15;29.08.2025 17:30;-;8,250
29.08.2025 17:30;29.08.2025 17:45;-;8,250
29.08.2025 17:45;29.08.2025 18:00;-;8,250
29.08.2025 18:00;29.08.2025 18:15;-;8,500
29.08.2025 18:15;29.08.2025 18:30;-;8,500
29.08.2025 18:30;29.08.2025 18:45;-;8,500
29.08.2025 18:45;29.08.2025 19:00;-;8,500
29.08.2025 19:00;29.08.2025 19:15;-;9,000
29.08.2025 19:15;29.08.2025 19:30;-;9,000
29.08.2025 19:30;29.08.2025 19:45;-;9,000
29.08.2025 19:45;29.08.2025 20:00;-;9,000
29.08.2025 20:00;29.08.2025 20:15;-;9,250
29.08.2025 20:15;29.08.2025 20:30;-;9,250
29.08.2025 20:30;29.08.2025 20:45;-;9,250
29.08.2025 20:45;29.08.2025 21:00;-;9,250
29.08.2025 21:00;29.08.2025 21:15;-;9,500
29.08.2025 21:15;29.08.2025 21:30;-;9,500
29.08.2025 21:30;29.08.2025 21:45;-;9,500
29.08.2025 21:45;29.08.2025 22:00;-;9,500
29.08.2025 22:00;29.08.2025 22:15;-;8,500
29.08.2025 22:15;29.08.2025 22:30;-;8,500
29.08.2025 22:30;29.08.2025 22:45;-;8,500
29.08.2025 22:45;29.08.2025 23:00;-;8,500
29.08.2025 23:00;29.08.2025 23:15;-;8,250
29.08.2025 23:15;29.08.2025 23:30;-;8,250
29.08.2025 23:30;29.08.2025 23:45;-;8,250
29.08.2025 23:45;30.08.2025 00:00;-;8,250
30.08.2025 00:00;30.08.2025 00:15;-;8,250
30.08.2025 00:15;30.08.2025 00:30;-;8,250
30.08.2025 00:30;30.08.2025 00:45;-;8,250
30.08.2025 00:45;30.08.2025 01:00;-;8,250
30.08.2025 01:00;30.08.2025 01:15;-;8,000
30.08.2025 01:15;30.08.2025 01:30;-;8,000
30.08.2025 01:30;30.08.2025 01:45;-;8,000
30.08.2025 01:45;30.08.2025 02:00;-;8,000
30.08.2025 02:00;30.08.2025 02:15;-;8,000
30.08.2025 02:15;30.08.2025 02:30;-;8,000
30.08.2025 02:30;30.08.2025 02:45;-;8,000
30.08.2025 02:45;30.08.2025 03:00;-;8,000
30.08.2025 03:00;30.08.2025 03:15;-;8,250
30.08.2025 03:15;30.08.2025 03:30;-;8,250
30.08.2025 03:30;30.08.2025 03:45;-;8,250
30.08.2025 03:45;30.08.2025 04:00;-;8,250
30.08.2025 04:00;30.08.2025 04:15;-;8,000
30.08.2025 04:15;30.08.2025 04:30;-;8,000
30.08.2025 04:30;30.08.2025 04:45;-;8,000
30.08.2025 04:45;30.08.2025 05:00;-;8,000
30.08.2025 05:00;30.08.2025 05:15;-;9,000
30.08.2025 05:15;30.08.2025 05:30;-;9,000
30.08.2025 05:30;30.08.2025 05:45;-;9,000
30.08.2025 05:45;30.08.2025 06:00;-;9,000
30.08.2025 06:00;30.08.2025 06:15;-;9,000
30.08.2025 06:15;30.08.2025 06:30;-;9,000
30.08.2025 06:30;30.08.2025 06:45;-;9,000
30.08.2025 06:45;30.08.2025 07:00;-;9,000
30.08.2025 07:00;30.08.2025 07:15;-;8,500
30.08.2025 07:15;30.08.2025 07:30;-;8,500
30.08.2025 07:30;30.08.2025 07:45;-;8,500
30.08.2025 07:45;30.08.2025 08:00;-;8,500
30.08.2025 08:00;30.08.2025 08:15;-;8,000
30.08.2025 08:15;30.08.2025 08:30;-;8,000
30.08.2025 08:30;30.08.2025 08:45;-;8,000
30.08.2025 08:45;30.08.2025 09:00;-;8,000
30.08.2025 09:00;30.08.2025 09:15;-;8,000
30.08.2025 09:15;30.08.2025 09:30;-;8,000
30.08.2025 09:30;30.08.2025 09:45;-;8,000
30.08.2025 09:45;30.08.2025 10:00;-;8,000
30.08.2025 10:00;30.08.2025 10:15;-;7,750
30.08.2025 10:15;30.08.2025 10:30;-;7,750
30.08.2025 10:30;30.08.2025 10:45;-;7,750
30.08.2025 10:45;30.08.2025 11:00;-;7,750
30.08.2025 11:00;30.08.2025 11:15;-;7,500
30.08.2025 11:15;30.08.2025 11:30;-;7,500
30.08.2025 11:30;30.08.2025 11:45;-;7,500
30.08.2025 11:45;30.08.2025 12:00;-;7,500
30.08.2025 12:00;30.08.2025 12:15;-;7,750
30.08.2025 12:15;30.08.2025 12:30;-;7,750
30.08.2025 12:30;30.08.2025 12:45;-;7,750
30.08.2025 12:45;30.08.2025 13:00;-;7,750
