Datum von;Datum bis;Generation_DE Schkopau B [MW] Berechnete Auflösungen;Generation_DE Schkopau A+B Bahngenerator [MW] Berechnete Auflösungen;Generation_DE Schkopau A [MW] Berechnete Auflösungen
28.08.2025 03:15;28.08.2025 03:30;40,750;-;0,000
28.08.2025 03:30;28.08.2025 03:45;40,750;-;0,000
28.08.2025 03:45;28.08.2025 04:00;40,750;-;0,000
28.08.2025 04:00;28.08.2025 04:15;40,500;-;0,000
28.08.2025 04:15;28.08.2025 04:30;40,500;-;0,000
28.08.2025 04:30;28.08.2025 04:45;40,500;-;0,000
28.08.2025 04:45;28.08.2025 05:00;40,500;-;0,000
28.08.2025 05:00;28.08.2025 05:15;46,500;-;0,000
28.08.2025 05:15;28.08.2025 05:30;46,500;-;0,000
28.08.2025 05:30;28.08.2025 05:45;46,500;-;0,000
28.08.2025 05:45;28.08.2025 06:00;46,500;-;0,000
28.08.2025 06:00;28.08.2025 06:15;78,000;-;0,000
28.08.2025 06:15;28.08.2025 06:30;78,000;-;0,000
28.08.2025 06:30;28.08.2025 06:45;78,000;-;0,000
28.08.2025 06:45;28.08.2025 07:00;78,000;-;0,000
28.08.2025 07:00;28.08.2025 07:15;78,250;-;0,000
28.08.2025 07:15;28.08.2025 07:30;78,250;-;0,000
28.08.2025 07:30;28.08.2025 07:45;78,250;-;0,000
28.08.2025 07:45;28.08.2025 08:00;78,250;-;0,000
28.08.2025 08:00;28.08.2025 08:15;77,500;-;0,000
28.08.2025 08:15;28.08.2025 08:30;77,500;-;0,000
28.08.2025 08:30;28.08.2025 08:45;77,500;-;0,000
28.08.2025 08:45;28.08.2025 09:00;77,500;-;0,000
28.08.2025 09:00;28.08.2025 09:15;76,250;-;0,000
28.08.2025 09:15;28.08.2025 09:30;76,250;-;0,000
28.08.2025 09:30;28.08.2025 09:45;76,250;-;0,000
28.08.2025 09:45;28.08.2025 10:00;76,250;-;0,000
28.08.2025 10:00;28.08.2025 10:15;57,250;-;0,000
28.08.2025 10:15;28.08.2025 10:30;57,250;-;0,000
28.08.2025 10:30;28.08.2025 10:45;57,250;-;0,000
28.08.2025 10:45;28.08.2025 11:00;57,250;-;0,000
28.08.2025 11:00;28.08.2025 11:15;44,500;-;0,000
28.08.2025 11:15;28.08.2025 11:30;44,500;-;0,000
28.08.2025 11:30;28.08.2025 11:45;44,500;-;0,000
28.08.2025 11:45;28.08.2025 12:00;44,500;-;0,000
28.08.2025 12:00;28.08.2025 12:15;46,750;-;0,000
28.08.2025 12:15;28.08.2025 12:30;46,750;-;0,000
28.08.2025 12:30;28.08.2025 12:45;46,750;-;0,000
28.08.2025 12:45;28.08.2025 13:00;46,750;-;0,000
28.08.2025 13:00;28.08.2025 13:15;47,000;-;0,000
28.08.2025 13:15;28.08.2025 13:30;47,000;-;0,000
28.08.2025 13:30;28.08.2025 13:45;47,000;-;0,000
28.08.2025 13:45;28.08.2025 14:00;47,000;-;0,000
28.08.2025 14:00;28.08.2025 14:15;47,000;-;0,000
28.08.2025 14:15;28.08.2025 14:30;47,000;-;0,000
28.08.2025 14:30;28.08.2025 14:45;47,000;-;0,000
28.08.2025 14:45;28.08.2025 15:00;47,000;-;0,000
28.08.2025 15:00;28.08.2025 15:15;49,500;-;0,000
28.08.2025 15:15;28.08.2025 15:30;49,500;-;0,000
28.08.2025 15:30;28.08.2025 15:45;49,500;-;0,000
28.08.2025 15:45;28.08.2025 16:00;49,500;-;0,000
28.08.2025 16:00;28.08.2025 16:15;48,000;-;0,000
28.08.2025 16:15;28.08.2025 16:30;48,000;-;0,000
28.08.2025 16:30;28.08.2025 16:45;48,000;-;0,000
28.08.2025 16:45;28.08.2025 17:00;48,000;-;0,000
28.08.2025 17:00;28.08.2025 17:15;79,000;-;0,000
28.08.2025 17:15;28.08.2025 17:30;79,000;-;0,000
28.08.2025 17:30;28.08.2025 17:45;79,000;-;0,000
28.08.2025 17:45;28.08.2025 18:00;79,000;-;0,000
28.08.2025 18:00;28.08.2025 18:15;83,250;-;0,000
28.08.2025 18:15;28.08.2025 18:30;83,250;-;0,000
28.08.2025 18:30;28.08.2025 18:45;83,250;-;0,000
28.08.2025 18:45;28.08.2025 19:00;83,250;-;0,000
28.08.2025 19:00;28.08.2025 19:15;82,000;-;0,000
28.08.2025 19:15;28.08.2025 19:30;82,000;-;0,000
28.08.2025 19:30;28.08.2025 19:45;82,000;-;0,000
28.08.2025 19:45;28.08.2025 20:00;82,000;-;0,000
28.08.2025 20:00;28.08.2025 20:15;82,000;-;0,000
28.08.2025 20:15;28.08.2025 20:30;82,000;-;0,000
28.08.2025 20:30;28.08.2025 20:45;82,000;-;0,000
28.08.2025 20:45;28.08.2025 21:00;82,000;-;0,000
28.08.2025 21:00;28.08.2025 21:15;85,000;-;0,000
28.08.2025 21:15;28.08.2025 21:30;85,000;-;0,000
28.08.2025 21:30;28.08.2025 21:45;85,000;-;0,000
28.08.2025 21:45;28.08.2025 22:00;85,000;-;0,000
28.08.2025 22:00;28.08.2025 22:15;65,500;-;0,000
28.08.2025 22:15;28.08.2025 22:30;65,500;-;0,000
28.08.2025 22:30;28.08.2025 22:45;65,500;-;0,000
28.08.2025 22:45;28.08.2025 23:00;65,500;-;0,000
28.08.2025 23:00;28.08.2025 23:15;41,750;-;0,000
28.08.2025 23:15;28.08.2025 23:30;41,750;-;0,000
28.08.2025 23:30;28.08.2025 23:45;41,750;-;0,000
28.08.2025 23:45;29.08.2025 00:00;41,750;-;0,000
29.08.2025 00:00;29.08.2025 00:15;40,000;-;0,000
29.08.2025 00:15;29.08.2025 00:30;40,000;-;0,000
29.08.2025 00:30;29.08.2025 00:45;40,000;-;0,000
29.08.2025 00:45;29.08.2025 01:00;40,000;-;0,000
29.08.2025 01:00;29.08.2025 01:15;41,250;-;0,000
29.08.2025 01:15;29.08.2025 01:30;41,250;-;0,000
29.08.2025 01:30;29.08.2025 01:45;41,250;-;0,000
29.08.2025 01:45;29.08.2025 02:00;41,250;-;0,000
29.08.2025 02:00;29.08.2025 02:15;41,500;-;0,000
29.08.2025 02:15;29.08.2025 02:30;41,500;-;0,000
29.08.2025 02:30;29.08.2025 02:45;41,500;-;0,000
29.08.2025 02:45;29.08.2025 03:00;41,500;-;0,000
29.08.2025 03:00;29.08.2025 03:15;41,750;-;0,000
29.08.2025 03:15;29.08.2025 03:30;41,750;-;0,000
29.08.2025 03:30;29.08.2025 03:45;41,750;-;0,000
29.08.2025 03:45;29.08.2025 04:00;41,750;-;0,000
29.08.2025 04:00;29.08.2025 04:15;42,500;-;0,000
29.08.2025 04:15;29.08.2025 04:30;42,500;-;0,000
29.08.2025 04:30;29.08.2025 04:45;42,500;-;0,000
29.08.2025 04:45;29.08.2025 05:00;42,500;-;0,000
29.08.2025 05:00;29.08.2025 05:15;48,000;-;0,000
29.08.2025 05:15;29.08.2025 05:30;48,000;-;0,000
29.08.2025 05:30;29.08.2025 05:45;48,000;-;0,000
29.08.2025 05:45;29.08.2025 06:00;48,000;-;0,000
29.08.2025 06:00;29.08.2025 06:15;81,000;-;0,000
29.08.2025 06:15;29.08.2025 06:30;81,000;-;0,000
29.08.2025 06:30;29.08.2025 06:45;81,000;-;0,000
29.08.2025 06:45;29.08.2025 07:00;81,000;-;0,000
29.08.2025 07:00;29.08.2025 07:15;75,500;-;0,000
29.08.2025 07:15;29.08.2025 07:30;75,500;-;0,000
29.08.2025 07:30;29.08.2025 07:45;75,500;-;0,000
29.08.2025 07:45;29.08.2025 08:00;75,500;-;0,000
29.08.2025 08:00;29.08.2025 08:15;83,000;-;0,000
29.08.2025 08:15;29.08.2025 08:30;83,000;-;0,000
29.08.2025 08:30;29.08.2025 08:45;83,000;-;0,000
29.08.2025 08:45;29.08.2025 09:00;83,000;-;0,000
29.08.2025 09:00;29.08.2025 09:15;77,500;-;0,000
29.08.2025 09:15;29.08.2025 09:30;77,500;-;0,000
29.08.2025 09:30;29.08.2025 09:45;77,500;-;0,000
29.08.2025 09:45;29.08.2025 10:00;77,500;-;0,000
29.08.2025 10:00;29.08.2025 10:15;42,250;-;0,000
29.08.2025 10:15;29.08.2025 10:30;42,250;-;0,000
29.08.2025 10:30;29.08.2025 10:45;42,250;-;0,000
29.08.2025 10:45;29.08.2025 11:00;42,250;-;0,000
29.08.2025 11:00;29.08.2025 11:15;41,500;-;0,000
29.08.2025 11:15;29.08.2025 11:30;41,500;-;0,000
29.08.2025 11:30;29.08.2025 11:45;41,500;-;0,000
29.08.2025 11:45;29.08.2025 12:00;41,500;-;0,000
29.08.2025 12:00;29.08.2025 12:15;41,750;-;0,000
29.08.2025 12:15;29.08.2025 12:30;41,750;-;0,000
29.08.2025 12:30;29.08.2025 12:45;41,750;-;0,000
29.08.2025 12:45;29.08.2025 13:00;41,750;-;0,000
29.08.2025 13:00;29.08.2025 13:15;42,000;-;0,000
29.08.2025 13:15;29.08.2025 13:30;42,000;-;0,000
29.08.2025 13:30;29.08.2025 13:45;42,000;-;0,000
29.08.2025 13:45;29.08.2025 14:00;42,000;-;0,000
29.08.2025 14:00;29.08.2025 14:15;41,750;-;0,000
29.08.2025 14:15;29.08.2025 14:30;41,750;-;0,000
29.08.2025 14:30;29.08.2025 14:45;41,750;-;0,000
29.08.2025 14:45;29.08.2025 15:00;41,750;-;0,000
29.08.2025 15:00;29.08.2025 15:15;41,750;-;0,000
29.08.2025 15:15;29.08.2025 15:30;41,750;-;0,000
29.08.2025 15:30;29.08.2025 15:45;41,750;-;0,000
29.08.2025 15:45;29.08.2025 16:00;41,750;-;0,000
29.08.2025 16:00;29.08.2025 16:15;42,500;-;0,000
29.08.2025 16:15;29.08.2025 16:30;42,500;-;0,000
29.08.2025 16:30;29.08.2025 16:45;42,500;-;0,000
29.08.2025 16:45;29.08.2025 17:00;42,500;-;0,000
29.08.2025 17:00;29.08.2025 17:15;75,000;-;0,000
29.08.2025 17:15;29.08.2025 17:30;75,000;-;0,000
29.08.2025 17:30;29.08.2025 17:45;75,000;-;0,000
29.08.2025 17:45;29.08.2025 18:00;75,000;-;0,000
29.08.2025 18:00;29.08.2025 18:15;77,750;-;0,000
