Datum von;Datum bis;Generation_DE Maschine 1 [MW] Berechnete Auflösungen;Generation_DE Maschine 2 [MW] Berechnete Auflösungen
26.08.2025 22:45;26.08.2025 23:00;24,250;4,250
26.08.2025 23:00;26.08.2025 23:15;6,500;4,250
26.08.2025 23:15;26.08.2025 23:30;6,500;4,250
26.08.2025 23:30;26.08.2025 23:45;6,500;4,250
26.08.2025 23:45;27.08.2025 00:00;6,500;4,250
27.08.2025 00:00;27.08.2025 00:15;0,000;1,000
27.08.2025 00:15;27.08.2025 00:30;0,000;1,000
27.08.2025 00:30;27.08.2025 00:45;0,000;1,000
27.08.2025 00:45;27.08.2025 01:00;0,000;1,000
27.08.2025 01:00;27.08.2025 01:15;0,000;0,000
27.08.2025 01:15;27.08.2025 01:30;0,000;0,000
27.08.2025 01:30;27.08.2025 01:45;0,000;0,000
27.08.2025 01:45;27.08.2025 02:00;0,000;0,000
27.08.2025 02:00;27.08.2025 02:15;0,000;0,000
27.08.2025 02:15;27.08.2025 02:30;0,000;0,000
27.08.2025 02:30;27.08.2025 02:45;0,000;0,000
27.08.2025 02:45;27.08.2025 03:00;0,000;0,000
27.08.2025 03:00;27.08.2025 03:15;1,000;0,000
27.08.2025 03:15;27.08.2025 03:30;1,000;0,000
27.08.2025 03:30;27.08.2025 03:45;1,000;0,000
27.08.2025 03:45;27.08.2025 04:00;1,000;0,000
27.08.2025 04:00;27.08.2025 04:15;5,000;0,000
27.08.2025 04:15;27.08.2025 04:30;5,000;0,000
27.08.2025 04:30;27.08.2025 04:45;5,000;0,000
27.08.2025 04:45;27.08.2025 05:00;5,000;0,000
27.08.2025 05:00;27.08.2025 05:15;16,250;8,250
27.08.2025 05:15;27.08.2025 05:30;16,250;8,250
27.08.2025 05:30;27.08.2025 05:45;16,250;8,250
27.08.2025 05:45;27.08.2025 06:00;16,250;8,250
27.08.2025 06:00;27.08.2025 06:15;32,500;45,250
27.08.2025 06:15;27.08.2025 06:30;32,500;45,250
27.08.2025 06:30;27.08.2025 06:45;32,500;45,250
27.08.2025 06:45;27.08.2025 07:00;32,500;45,250
27.08.2025 07:00;27.08.2025 07:15;33,500;58,250
27.08.2025 07:15;27.08.2025 07:30;33,500;58,250
27.08.2025 07:30;27.08.2025 07:45;33,500;58,250
27.08.2025 07:45;27.08.2025 08:00;33,500;58,250
27.08.2025 08:00;27.08.2025 08:15;37,750;42,250
27.08.2025 08:15;27.08.2025 08:30;37,750;42,250
27.08.2025 08:30;27.08.2025 08:45;37,750;42,250
27.08.2025 08:45;27.08.2025 09:00;37,750;42,250
27.08.2025 09:00;27.08.2025 09:15;15,000;13,750
27.08.2025 09:15;27.08.2025 09:30;15,000;13,750
27.08.2025 09:30;27.08.2025 09:45;15,000;13,750
27.08.2025 09:45;27.08.2025 10:00;15,000;13,750
27.08.2025 10:00;27.08.2025 10:15;4,250;4,250
27.08.2025 10:15;27.08.2025 10:30;4,250;4,250
27.08.2025 10:30;27.08.2025 10:45;4,250;4,250
27.08.2025 10:45;27.08.2025 11:00;4,250;4,250
27.08.2025 11:00;27.08.2025 11:15;4,250;4,750
27.08.2025 11:15;27.08.2025 11:30;4,250;4,750
27.08.2025 11:30;27.08.2025 11:45;4,250;4,750
27.08.2025 11:45;27.08.2025 12:00;4,250;4,750
27.08.2025 12:00;27.08.2025 12:15;1,000;4,250
27.08.2025 12:15;27.08.2025 12:30;1,000;4,250
27.08.2025 12:30;27.08.2025 12:45;1,000;4,250
27.08.2025 12:45;27.08.2025 13:00;1,000;4,250
27.08.2025 13:00;27.08.2025 13:15;0,000;4,250
27.08.2025 13:15;27.08.2025 13:30;0,000;4,250
27.08.2025 13:30;27.08.2025 13:45;0,000;4,250
27.08.2025 13:45;27.08.2025 14:00;0,000;4,250
27.08.2025 14:00;27.08.2025 14:15;0,000;3,750
27.08.2025 14:15;27.08.2025 14:30;0,000;3,750
27.08.2025 14:30;27.08.2025 14:45;0,000;3,750
27.08.2025 14:45;27.08.2025 15:00;0,000;3,750
27.08.2025 15:00;27.08.2025 15:15;4,250;0,000
27.08.2025 15:15;27.08.2025 15:30;4,250;0,000
27.08.2025 15:30;27.08.2025 15:45;4,250;0,000
27.08.2025 15:45;27.08.2025 16:00;4,250;0,000
27.08.2025 16:00;27.08.2025 16:15;18,750;4,000
27.08.2025 16:15;27.08.2025 16:30;18,750;4,000
27.08.2025 16:30;27.08.2025 16:45;18,750;4,000
27.08.2025 16:45;27.08.2025 17:00;18,750;4,000
27.08.2025 17:00;27.08.2025 17:15;18,750;14,750
27.08.2025 17:15;27.08.2025 17:30;18,750;14,750
27.08.2025 17:30;27.08.2025 17:45;18,750;14,750
27.08.2025 17:45;27.08.2025 18:00;18,750;14,750
27.08.2025 18:00;27.08.2025 18:15;39,500;11,500
