Datum von;Datum bis;Generation_DE Block 10 [MW] Berechnete Auflösungen;Generation_DE Block 20 [MW] Berechnete Auflösungen
27.08.2025 02:00;27.08.2025 02:15;104,000;103,250
27.08.2025 02:15;27.08.2025 02:30;104,000;103,250
27.08.2025 02:30;27.08.2025 02:45;104,000;103,250
27.08.2025 02:45;27.08.2025 03:00;104,000;103,250
27.08.2025 03:00;27.08.2025 03:15;103,000;103,000
27.08.2025 03:15;27.08.2025 03:30;103,000;103,000
27.08.2025 03:30;27.08.2025 03:45;103,000;103,000
27.08.2025 03:45;27.08.2025 04:00;103,000;103,000
27.08.2025 04:00;27.08.2025 04:15;96,000;95,500
27.08.2025 04:15;27.08.2025 04:30;96,000;95,500
27.08.2025 04:30;27.08.2025 04:45;96,000;95,500
27.08.2025 04:45;27.08.2025 05:00;96,000;95,500
27.08.2025 05:00;27.08.2025 05:15;107,250;107,250
27.08.2025 05:15;27.08.2025 05:30;107,250;107,250
27.08.2025 05:30;27.08.2025 05:45;107,250;107,250
27.08.2025 05:45;27.08.2025 06:00;107,250;107,250
27.08.2025 06:00;27.08.2025 06:15;107,500;107,500
27.08.2025 06:15;27.08.2025 06:30;107,500;107,500
27.08.2025 06:30;27.08.2025 06:45;107,500;107,500
27.08.2025 06:45;27.08.2025 07:00;107,500;107,500
27.08.2025 07:00;27.08.2025 07:15;107,250;107,250
27.08.2025 07:15;27.08.2025 07:30;107,250;107,250
27.08.2025 07:30;27.08.2025 07:45;107,250;107,250
27.08.2025 07:45;27.08.2025 08:00;107,250;107,250
27.08.2025 08:00;27.08.2025 08:15;107,250;107,250
27.08.2025 08:15;27.08.2025 08:30;107,250;107,250
27.08.2025 08:30;27.08.2025 08:45;107,250;107,250
27.08.2025 08:45;27.08.2025 09:00;107,250;107,250
27.08.2025 09:00;27.08.2025 09:15;92,000;105,000
27.08.2025 09:15;27.08.2025 09:30;92,000;105,000
27.08.2025 09:30;27.08.2025 09:45;92,000;105,000
27.08.2025 09:45;27.08.2025 10:00;92,000;105,000
27.08.2025 10:00;27.08.2025 10:15;0,000;101,750
27.08.2025 10:15;27.08.2025 10:30;0,000;101,750
27.08.2025 10:30;27.08.2025 10:45;0,000;101,750
27.08.2025 10:45;27.08.2025 11:00;0,000;101,750
27.08.2025 11:00;27.08.2025 11:15;0,000;31,500
27.08.2025 11:15;27.08.2025 11:30;0,000;31,500
27.08.2025 11:30;27.08.2025 11:45;0,000;31,500
27.08.2025 11:45;27.08.2025 12:00;0,000;31,500
27.08.2025 12:00;27.08.2025 12:15;0,000;0,000
27.08.2025 12:15;27.08.2025 12:30;0,000;0,000
27.08.2025 12:30;27.08.2025 12:45;0,000;0,000
27.08.2025 12:45;27.08.2025 13:00;0,000;0,000
27.08.2025 13:00;27.08.2025 13:15;0,000;0,000
27.08.2025 13:15;27.08.2025 13:30;0,000;0,000
