Datum von;Datum bis;Generation_DE GuD Herne [MW] Berechnete Auflösungen
28.08.2025 05:45;28.08.2025 06:00;143,750
28.08.2025 06:00;28.08.2025 06:15;146,500
28.08.2025 06:15;28.08.2025 06:30;146,500
28.08.2025 06:30;28.08.2025 06:45;146,500
28.08.2025 06:45;28.08.2025 07:00;146,500
28.08.2025 07:00;28.08.2025 07:15;146,500
28.08.2025 07:15;28.08.2025 07:30;146,500
28.08.2025 07:30;28.08.2025 07:45;146,500
28.08.2025 07:45;28.08.2025 08:00;146,500
28.08.2025 08:00;28.08.2025 08:15;145,750
28.08.2025 08:15;28.08.2025 08:30;145,750
28.08.2025 08:30;28.08.2025 08:45;145,750
28.08.2025 08:45;28.08.2025 09:00;145,750
28.08.2025 09:00;28.08.2025 09:15;145,750
28.08.2025 09:15;28.08.2025 09:30;145,750
28.08.2025 09:30;28.08.2025 09:45;145,750
28.08.2025 09:45;28.08.2025 10:00;145,750
28.08.2025 10:00;28.08.2025 10:15;145,500
28.08.2025 10:15;28.08.2025 10:30;145,500
28.08.2025 10:30;28.08.2025 10:45;145,500
28.08.2025 10:45;28.08.2025 11:00;145,500
28.08.2025 11:00;28.08.2025 11:15;144,000
28.08.2025 11:15;28.08.2025 11:30;144,000
28.08.2025 11:30;28.08.2025 11:45;144,000
28.08.2025 11:45;28.08.2025 12:00;144,000
28.08.2025 12:00;28.08.2025 12:15;141,500
28.08.2025 12:15;28.08.2025 12:30;141,500
28.08.2025 12:30;28.08.2025 12:45;141,500
28.08.2025 12:45;28.08.2025 13:00;141,500
28.08.2025 13:00;28.08.2025 13:15;140,000
28.08.2025 13:15;28.08.2025 13:30;140,000
28.08.2025 13:30;28.08.2025 13:45;140,000
28.08.2025 13:45;28.08.2025 14:00;140,000
28.08.2025 14:00;28.08.2025 14:15;140,750
28.08.2025 14:15;28.08.2025 14:30;140,750
28.08.2025 14:30;28.08.2025 14:45;140,750
28.08.2025 14:45;28.08.2025 15:00;140,750
28.08.2025 15:00;28.08.2025 15:15;143,750
28.08.2025 15:15;28.08.2025 15:30;143,750
28.08.2025 15:30;28.08.2025 15:45;143,750
28.08.2025 15:45;28.08.2025 16:00;143,750
28.08.2025 16:00;28.08.2025 16:15;143,500
28.08.2025 16:15;28.08.2025 16:30;143,500
28.08.2025 16:30;28.08.2025 16:45;143,500
28.08.2025 16:45;28.08.2025 17:00;143,500
28.08.2025 17:00;28.08.2025 17:15;144,750
