Datum von;Datum bis;Generation_DE Block R [MW] Berechnete Auflösungen;Generation_DE Block S [MW] Berechnete Auflösungen
29.08.2025 22:15;29.08.2025 22:30;0,250;199,750
29.08.2025 22:30;29.08.2025 22:45;0,250;199,750
29.08.2025 22:45;29.08.2025 23:00;0,250;199,750
29.08.2025 23:00;29.08.2025 23:15;0,250;198,250
29.08.2025 23:15;29.08.2025 23:30;0,250;198,250
29.08.2025 23:30;29.08.2025 23:45;0,250;198,250
29.08.2025 23:45;30.08.2025 00:00;0,250;198,250
30.08.2025 00:00;30.08.2025 00:15;0,250;193,750
30.08.2025 00:15;30.08.2025 00:30;0,250;193,750
30.08.2025 00:30;30.08.2025 00:45;0,250;193,750
30.08.2025 00:45;30.08.2025 01:00;0,250;193,750
30.08.2025 01:00;30.08.2025 01:15;0,250;193,000
30.08.2025 01:15;30.08.2025 01:30;0,250;193,000
30.08.2025 01:30;30.08.2025 01:45;0,250;193,000
30.08.2025 01:45;30.08.2025 02:00;0,250;193,000
30.08.2025 02:00;30.08.2025 02:15;0,250;192,000
30.08.2025 02:15;30.08.2025 02:30;0,250;192,000
30.08.2025 02:30;30.08.2025 02:45;0,250;192,000
30.08.2025 02:45;30.08.2025 03:00;0,250;192,000
30.08.2025 03:00;30.08.2025 03:15;0,250;193,000
30.08.2025 03:15;30.08.2025 03:30;0,250;193,000
30.08.2025 03:30;30.08.2025 03:45;0,250;193,000
30.08.2025 03:45;30.08.2025 04:00;0,250;193,000
30.08.2025 04:00;30.08.2025 04:15;0,250;192,500
30.08.2025 04:15;30.08.2025 04:30;0,250;192,500
30.08.2025 04:30;30.08.2025 04:45;0,250;192,500
30.08.2025 04:45;30.08.2025 05:00;0,250;192,500
30.08.2025 05:00;30.08.2025 05:15;0,250;197,500
30.08.2025 05:15;30.08.2025 05:30;0,250;197,500
30.08.2025 05:30;30.08.2025 05:45;0,250;197,500
30.08.2025 05:45;30.08.2025 06:00;0,250;197,500
30.08.2025 06:00;30.08.2025 06:15;0,250;198,000
30.08.2025 06:15;30.08.2025 06:30;0,250;198,000
30.08.2025 06:30;30.08.2025 06:45;0,250;198,000
30.08.2025 06:45;30.08.2025 07:00;0,250;198,000
30.08.2025 07:00;30.08.2025 07:15;0,250;199,750
30.08.2025 07:15;30.08.2025 07:30;0,250;199,750
30.08.2025 07:30;30.08.2025 07:45;0,250;199,750
30.08.2025 07:45;30.08.2025 08:00;0,250;199,750
30.08.2025 08:00;30.08.2025 08:15;0,000;196,500
30.08.2025 08:15;30.08.2025 08:30;0,000;196,500
30.08.2025 08:30;30.08.2025 08:45;0,000;196,500
30.08.2025 08:45;30.08.2025 09:00;0,000;196,500
30.08.2025 09:00;30.08.2025 09:15;0,000;180,500
30.08.2025 09:15;30.08.2025 09:30;0,000;180,500
30.08.2025 09:30;30.08.2025 09:45;0,000;180,500
30.08.2025 09:45;30.08.2025 10:00;0,000;180,500
30.08.2025 10:00;30.08.2025 10:15;0,000;102,500
30.08.2025 10:15;30.08.2025 10:30;0,000;102,500
30.08.2025 10:30;30.08.2025 10:45;0,000;102,500
30.08.2025 10:45;30.08.2025 11:00;0,000;102,500
30.08.2025 11:00;30.08.2025 11:15;0,000;72,500
30.08.2025 11:15;30.08.2025 11:30;0,000;72,500
30.08.2025 11:30;30.08.2025 11:45;0,000;72,500
30.08.2025 11:45;30.08.2025 12:00;0,000;72,500
30.08.2025 12:00;30.08.2025 12:15;0,000;72,500
30.08.2025 12:15;30.08.2025 12:30;0,000;72,500
30.08.2025 12:30;30.08.2025 12:45;0,000;72,500
30.08.2025 12:45;30.08.2025 13:00;0,000;72,500
30.08.2025 13:00;30.08.2025 13:15;0,000;72,250
30.08.2025 13:15;30.08.2025 13:30;0,000;72,250
30.08.2025 13:30;30.08.2025 13:45;0,000;72,250
30.08.2025 13:45;30.08.2025 14:00;0,000;72,250
30.08.2025 14:00;30.08.2025 14:15;0,000;72,000
30.08.2025 14:15;30.08.2025 14:30;0,000;72,000
30.08.2025 14:30;30.08.2025 14:45;0,000;72,000
30.08.2025 14:45;30.08.2025 15:00;0,000;72,000
30.08.2025 15:00;30.08.2025 15:15;0,000;72,000
30.08.2025 15:15;30.08.2025 15:30;0,000;72,000
30.08.2025 15:30;30.08.2025 15:45;0,000;72,000
30.08.2025 15:45;30.08.2025 16:00;0,000;72,000
30.08.2025 16:00;30.08.2025 16:15;0,000;78,750
30.08.2025 16:15;30.08.2025 16:30;0,000;78,750
30.08.2025 16:30;30.08.2025 16:45;0,000;78,750
30.08.2025 16:45;30.08.2025 17:00;0,000;78,750
30.08.2025 17:00;30.08.2025 17:15;0,000;110,750
30.08.2025 17:15;30.08.2025 17:30;0,000;110,750
30.08.2025 17:30;30.08.2025 17:45;0,000;110,750
30.08.2025 17:45;30.08.2025 18:00;0,000;110,750
