Datum von;Datum bis;Generation_DE Block R [MW] Berechnete Auflösungen;Generation_DE Block S [MW] Berechnete Auflösungen
26.08.2025 22:45;26.08.2025 23:00;208,500;208,500
26.08.2025 23:00;26.08.2025 23:15;208,750;208,500
26.08.2025 23:15;26.08.2025 23:30;208,750;208,500
26.08.2025 23:30;26.08.2025 23:45;208,750;208,500
26.08.2025 23:45;27.08.2025 00:00;208,750;208,500
27.08.2025 00:00;27.08.2025 00:15;209,000;207,750
27.08.2025 00:15;27.08.2025 00:30;209,000;207,750
27.08.2025 00:30;27.08.2025 00:45;209,000;207,750
27.08.2025 00:45;27.08.2025 01:00;209,000;207,750
27.08.2025 01:00;27.08.2025 01:15;208,250;207,750
27.08.2025 01:15;27.08.2025 01:30;208,250;207,750
27.08.2025 01:30;27.08.2025 01:45;208,250;207,750
27.08.2025 01:45;27.08.2025 02:00;208,250;207,750
27.08.2025 02:00;27.08.2025 02:15;208,250;208,000
27.08.2025 02:15;27.08.2025 02:30;208,250;208,000
27.08.2025 02:30;27.08.2025 02:45;208,250;208,000
27.08.2025 02:45;27.08.2025 03:00;208,250;208,000
27.08.2025 03:00;27.08.2025 03:15;208,000;207,500
27.08.2025 03:15;27.08.2025 03:30;208,000;207,500
27.08.2025 03:30;27.08.2025 03:45;208,000;207,500
27.08.2025 03:45;27.08.2025 04:00;208,000;207,500
27.08.2025 04:00;27.08.2025 04:15;209,750;208,250
27.08.2025 04:15;27.08.2025 04:30;209,750;208,250
27.08.2025 04:30;27.08.2025 04:45;209,750;208,250
27.08.2025 04:45;27.08.2025 05:00;209,750;208,250
27.08.2025 05:00;27.08.2025 05:15;209,000;208,000
27.08.2025 05:15;27.08.2025 05:30;209,000;208,000
27.08.2025 05:30;27.08.2025 05:45;209,000;208,000
27.08.2025 05:45;27.08.2025 06:00;209,000;208,000
27.08.2025 06:00;27.08.2025 06:15;209,500;207,750
27.08.2025 06:15;27.08.2025 06:30;209,500;207,750
27.08.2025 06:30;27.08.2025 06:45;209,500;207,750
27.08.2025 06:45;27.08.2025 07:00;209,500;207,750
27.08.2025 07:00;27.08.2025 07:15;209,250;208,000
27.08.2025 07:15;27.08.2025 07:30;209,250;208,000
