Datum von;Datum bis;Generation_DE Block 7 [MW] Berechnete Auflösungen;Generation_DE Block 8 [MW] Berechnete Auflösungen;Generation_DE Block 8 Wasserturbine [MW] Berechnete Auflösungen;Generation_DE Block 4S GT [MW] Berechnete Auflösungen;Generation_DE Block 4S DT [MW] Berechnete Auflösungen
26.08.2025 19:15;26.08.2025 19:30;-;201,250;-;-;-
26.08.2025 19:30;26.08.2025 19:45;-;201,250;-;-;-
26.08.2025 19:45;26.08.2025 20:00;-;201,250;-;-;-
26.08.2025 20:00;26.08.2025 20:15;-;201,250;-;-;-
26.08.2025 20:15;26.08.2025 20:30;-;201,250;-;-;-
26.08.2025 20:30;26.08.2025 20:45;-;201,250;-;-;-
26.08.2025 20:45;26.08.2025 21:00;-;201,250;-;-;-
26.08.2025 21:00;26.08.2025 21:15;-;201,250;-;-;-
26.08.2025 21:15;26.08.2025 21:30;-;201,250;-;-;-
26.08.2025 21:30;26.08.2025 21:45;-;201,250;-;-;-
26.08.2025 21:45;26.08.2025 22:00;-;201,250;-;-;-
26.08.2025 22:00;26.08.2025 22:15;-;201,250;-;-;-
26.08.2025 22:15;26.08.2025 22:30;-;201,250;-;-;-
26.08.2025 22:30;26.08.2025 22:45;-;201,250;-;-;-
26.08.2025 22:45;26.08.2025 23:00;-;201,250;-;-;-
26.08.2025 23:00;26.08.2025 23:15;-;201,000;-;-;-
26.08.2025 23:15;26.08.2025 23:30;-;201,000;-;-;-
26.08.2025 23:30;26.08.2025 23:45;-;201,000;-;-;-
26.08.2025 23:45;27.08.2025 00:00;-;201,000;-;-;-
27.08.2025 00:00;27.08.2025 00:15;-;201,250;-;-;-
27.08.2025 00:15;27.08.2025 00:30;-;201,250;-;-;-
27.08.2025 00:30;27.08.2025 00:45;-;201,250;-;-;-
27.08.2025 00:45;27.08.2025 01:00;-;201,250;-;-;-
27.08.2025 01:00;27.08.2025 01:15;-;201,000;-;-;-
27.08.2025 01:15;27.08.2025 01:30;-;201,000;-;-;-
27.08.2025 01:30;27.08.2025 01:45;-;201,000;-;-;-
27.08.2025 01:45;27.08.2025 02:00;-;201,000;-;-;-
27.08.2025 02:00;27.08.2025 02:15;-;201,000;-;-;-
27.08.2025 02:15;27.08.2025 02:30;-;201,000;-;-;-
27.08.2025 02:30;27.08.2025 02:45;-;201,000;-;-;-
27.08.2025 02:45;27.08.2025 03:00;-;201,000;-;-;-
27.08.2025 03:00;27.08.2025 03:15;-;200,750;-;-;-
27.08.2025 03:15;27.08.2025 03:30;-;200,750;-;-;-
27.08.2025 03:30;27.08.2025 03:45;-;200,750;-;-;-
27.08.2025 03:45;27.08.2025 04:00;-;200,750;-;-;-
27.08.2025 04:00;27.08.2025 04:15;-;200,250;-;-;-
27.08.2025 04:15;27.08.2025 04:30;-;200,250;-;-;-
27.08.2025 04:30;27.08.2025 04:45;-;200,250;-;-;-
27.08.2025 04:45;27.08.2025 05:00;-;200,250;-;-;-
27.08.2025 05:00;27.08.2025 05:15;-;200,000;-;-;-
27.08.2025 05:15;27.08.2025 05:30;-;200,000;-;-;-
27.08.2025 05:30;27.08.2025 05:45;-;200,000;-;-;-
27.08.2025 05:45;27.08.2025 06:00;-;200,000;-;-;-
27.08.2025 06:00;27.08.2025 06:15;-;202,250;-;-;-
27.08.2025 06:15;27.08.2025 06:30;-;202,250;-;-;-
27.08.2025 06:30;27.08.2025 06:45;-;202,250;-;-;-
27.08.2025 06:45;27.08.2025 07:00;-;202,250;-;-;-
27.08.2025 07:00;27.08.2025 07:15;-;203,000;-;-;-
27.08.2025 07:15;27.08.2025 07:30;-;203,000;-;-;-
27.08.2025 07:30;27.08.2025 07:45;-;203,000;-;-;-
27.08.2025 07:45;27.08.2025 08:00;-;203,000;-;-;-
27.08.2025 08:00;27.08.2025 08:15;-;204,250;-;-;-
27.08.2025 08:15;27.08.2025 08:30;-;204,250;-;-;-
27.08.2025 08:30;27.08.2025 08:45;-;204,250;-;-;-
27.08.2025 08:45;27.08.2025 09:00;-;204,250;-;-;-
27.08.2025 09:00;27.08.2025 09:15;-;202,750;-;-;-
27.08.2025 09:15;27.08.2025 09:30;-;202,750;-;-;-
27.08.2025 09:30;27.08.2025 09:45;-;202,750;-;-;-
27.08.2025 09:45;27.08.2025 10:00;-;202,750;-;-;-
27.08.2025 10:00;27.08.2025 10:15;-;22,250;-;-;-
27.08.2025 10:15;27.08.2025 10:30;-;22,250;-;-;-
27.08.2025 10:30;27.08.2025 10:45;-;22,250;-;-;-
27.08.2025 10:45;27.08.2025 11:00;-;22,250;-;-;-
27.08.2025 11:00;27.08.2025 11:15;-;0,000;-;-;-
27.08.2025 11:15;27.08.2025 11:30;-;0,000;-;-;-
27.08.2025 11:30;27.08.2025 11:45;-;0,000;-;-;-
27.08.2025 11:45;27.08.2025 12:00;-;0,000;-;-;-
27.08.2025 12:00;27.08.2025 12:15;-;15,500;-;-;-
27.08.2025 12:15;27.08.2025 12:30;-;15,500;-;-;-
27.08.2025 12:30;27.08.2025 12:45;-;15,500;-;-;-
27.08.2025 12:45;27.08.2025 13:00;-;15,500;-;-;-
27.08.2025 13:00;27.08.2025 13:15;-;60,000;-;-;-
27.08.2025 13:15;27.08.2025 13:30;-;60,000;-;-;-
27.08.2025 13:30;27.08.2025 13:45;-;60,000;-;-;-
27.08.2025 13:45;27.08.2025 14:00;-;60,000;-;-;-
27.08.2025 14:00;27.08.2025 14:15;-;67,750;-;-;-
27.08.2025 14:15;27.08.2025 14:30;-;67,750;-;-;-
27.08.2025 14:30;27.08.2025 14:45;-;67,750;-;-;-
27.08.2025 14:45;27.08.2025 15:00;-;67,750;-;-;-
27.08.2025 15:00;27.08.2025 15:15;-;100,500;-;-;-
