Datum von;Datum bis;Generation_DE GT12 [MW] Berechnete Auflösungen;Generation_DE GT11 [MW] Berechnete Auflösungen;Generation_DE DT10 [MW] Berechnete Auflösungen
26.08.2025 19:00;26.08.2025 19:15;196,250;-;-
26.08.2025 19:15;26.08.2025 19:30;196,250;-;-
26.08.2025 19:30;26.08.2025 19:45;196,250;-;-
26.08.2025 19:45;26.08.2025 20:00;196,250;-;-
26.08.2025 20:00;26.08.2025 20:15;198,250;-;-
26.08.2025 20:15;26.08.2025 20:30;198,250;-;-
26.08.2025 20:30;26.08.2025 20:45;198,250;-;-
26.08.2025 20:45;26.08.2025 21:00;198,250;-;-
26.08.2025 21:00;26.08.2025 21:15;187,500;-;-
26.08.2025 21:15;26.08.2025 21:30;187,500;-;-
26.08.2025 21:30;26.08.2025 21:45;187,500;-;-
26.08.2025 21:45;26.08.2025 22:00;187,500;-;-
26.08.2025 22:00;26.08.2025 22:15;164,500;-;-
26.08.2025 22:15;26.08.2025 22:30;164,500;-;-
26.08.2025 22:30;26.08.2025 22:45;164,500;-;-
26.08.2025 22:45;26.08.2025 23:00;164,500;-;-
26.08.2025 23:00;26.08.2025 23:15;171,750;-;-
26.08.2025 23:15;26.08.2025 23:30;171,750;-;-
26.08.2025 23:30;26.08.2025 23:45;171,750;-;-
26.08.2025 23:45;27.08.2025 00:00;171,750;-;-
27.08.2025 00:00;27.08.2025 00:15;177,750;-;-
27.08.2025 00:15;27.08.2025 00:30;177,750;-;-
27.08.2025 00:30;27.08.2025 00:45;177,750;-;-
27.08.2025 00:45;27.08.2025 01:00;177,750;-;-
27.08.2025 01:00;27.08.2025 01:15;183,750;-;-
27.08.2025 01:15;27.08.2025 01:30;183,750;-;-
27.08.2025 01:30;27.08.2025 01:45;183,750;-;-
27.08.2025 01:45;27.08.2025 02:00;183,750;-;-
27.08.2025 02:00;27.08.2025 02:15;187,500;-;-
27.08.2025 02:15;27.08.2025 02:30;187,500;-;-
27.08.2025 02:30;27.08.2025 02:45;187,500;-;-
27.08.2025 02:45;27.08.2025 03:00;187,500;-;-
27.08.2025 03:00;27.08.2025 03:15;138,000;-;-
27.08.2025 03:15;27.08.2025 03:30;138,000;-;-
27.08.2025 03:30;27.08.2025 03:45;138,000;-;-
27.08.2025 03:45;27.08.2025 04:00;138,000;-;-
27.08.2025 04:00;27.08.2025 04:15;148,750;-;-
27.08.2025 04:15;27.08.2025 04:30;148,750;-;-
27.08.2025 04:30;27.08.2025 04:45;148,750;-;-
27.08.2025 04:45;27.08.2025 05:00;148,750;-;-
27.08.2025 05:00;27.08.2025 05:15;195,500;-;-
27.08.2025 05:15;27.08.2025 05:30;195,500;-;-
27.08.2025 05:30;27.08.2025 05:45;195,500;-;-
27.08.2025 05:45;27.08.2025 06:00;195,500;-;-
27.08.2025 06:00;27.08.2025 06:15;209,500;-;-
27.08.2025 06:15;27.08.2025 06:30;209,500;-;-
27.08.2025 06:30;27.08.2025 06:45;209,500;-;-
27.08.2025 06:45;27.08.2025 07:00;209,500;-;-
27.08.2025 07:00;27.08.2025 07:15;209,750;-;-
27.08.2025 07:15;27.08.2025 07:30;209,750;-;-
27.08.2025 07:30;27.08.2025 07:45;209,750;-;-
27.08.2025 07:45;27.08.2025 08:00;209,750;-;-
27.08.2025 08:00;27.08.2025 08:15;209,250;-;-
27.08.2025 08:15;27.08.2025 08:30;209,250;-;-
27.08.2025 08:30;27.08.2025 08:45;209,250;-;-
27.08.2025 08:45;27.08.2025 09:00;209,250;-;-
27.08.2025 09:00;27.08.2025 09:15;123,750;-;-
27.08.2025 09:15;27.08.2025 09:30;123,750;-;-
27.08.2025 09:30;27.08.2025 09:45;123,750;-;-
27.08.2025 09:45;27.08.2025 10:00;123,750;-;-
27.08.2025 10:00;27.08.2025 10:15;0,000;-;-
27.08.2025 10:15;27.08.2025 10:30;0,000;-;-
27.08.2025 10:30;27.08.2025 10:45;0,000;-;-
27.08.2025 10:45;27.08.2025 11:00;0,000;-;-
27.08.2025 11:00;27.08.2025 11:15;0,000;-;-
27.08.2025 11:15;27.08.2025 11:30;0,000;-;-
27.08.2025 11:30;27.08.2025 11:45;0,000;-;-
27.08.2025 11:45;27.08.2025 12:00;0,000;-;-
27.08.2025 12:00;27.08.2025 12:15;0,000;-;-
27.08.2025 12:15;27.08.2025 12:30;0,000;-;-
27.08.2025 12:30;27.08.2025 12:45;0,000;-;-
27.08.2025 12:45;27.08.2025 13:00;0,000;-;-
27.08.2025 13:00;27.08.2025 13:15;0,000;-;-
27.08.2025 13:15;27.08.2025 13:30;0,000;-;-
27.08.2025 13:30;27.08.2025 13:45;0,000;-;-
27.08.2025 13:45;27.08.2025 14:00;0,000;-;-
27.08.2025 14:00;27.08.2025 14:15;0,000;-;-
27.08.2025 14:15;27.08.2025 14:30;0,000;-;-
27.08.2025 14:30;27.08.2025 14:45;0,000;-;-
27.08.2025 14:45;27.08.2025 15:00;0,000;-;-
27.08.2025 15:00;27.08.2025 15:15;0,000;-;-
27.08.2025 15:15;27.08.2025 15:30;0,000;-;-
27.08.2025 15:30;27.08.2025 15:45;0,000;-;-
27.08.2025 15:45;27.08.2025 16:00;0,000;-;-
27.08.2025 16:00;27.08.2025 16:15;13,750;-;-
27.08.2025 16:15;27.08.2025 16:30;13,750;-;-
27.08.2025 16:30;27.08.2025 16:45;13,750;-;-
27.08.2025 16:45;27.08.2025 17:00;13,750;-;-
27.08.2025 17:00;27.08.2025 17:15;129,750;-;-
27.08.2025 17:15;27.08.2025 17:30;129,750;-;-
27.08.2025 17:30;27.08.2025 17:45;129,750;-;-
27.08.2025 17:45;27.08.2025 18:00;129,750;-;-
27.08.2025 18:00;27.08.2025 18:15;197,500;-;-
27.08.2025 18:15;27.08.2025 18:30;197,500;-;-
27.08.2025 18:30;27.08.2025 18:45;197,500;-;-
27.08.2025 18:45;27.08.2025 19:00;197,500;-;-
27.08.2025 19:00;27.08.2025 19:15;199,500;-;-
27.08.2025 19:15;27.08.2025 19:30;199,500;-;-
27.08.2025 19:30;27.08.2025 19:45;199,500;-;-
27.08.2025 19:45;27.08.2025 20:00;199,500;-;-
27.08.2025 20:00;27.08.2025 20:15;201,250;-;-
27.08.2025 20:15;27.08.2025 20:30;201,250;-;-
27.08.2025 20:30;27.08.2025 20:45;201,250;-;-
27.08.2025 20:45;27.08.2025 21:00;201,250;-;-
27.08.2025 21:00;27.08.2025 21:15;203,500;-;-
27.08.2025 21:15;27.08.2025 21:30;203,500;-;-
27.08.2025 21:30;27.08.2025 21:45;203,500;-;-
27.08.2025 21:45;27.08.2025 22:00;203,500;-;-
27.08.2025 22:00;27.08.2025 22:15;166,750;-;-
27.08.2025 22:15;27.08.2025 22:30;166,750;-;-
27.08.2025 22:30;27.08.2025 22:45;166,750;-;-
27.08.2025 22:45;27.08.2025 23:00;166,750;-;-
27.08.2025 23:00;27.08.2025 23:15;140,500;-;-
27.08.2025 23:15;27.08.2025 23:30;140,500;-;-
27.08.2025 23:30;27.08.2025 23:45;140,500;-;-
27.08.2025 23:45;28.08.2025 00:00;140,500;-;-
28.08.2025 00:00;28.08.2025 00:15;182,500;-;-
28.08.2025 00:15;28.08.2025 00:30;182,500;-;-
28.08.2025 00:30;28.08.2025 00:45;182,500;-;-
28.08.2025 00:45;28.08.2025 01:00;182,500;-;-
28.08.2025 01:00;28.08.2025 01:15;198,500;-;-
28.08.2025 01:15;28.08.2025 01:30;198,500;-;-
28.08.2025 01:30;28.08.2025 01:45;198,500;-;-
28.08.2025 01:45;28.08.2025 02:00;198,500;-;-
28.08.2025 02:00;28.08.2025 02:15;207,000;-;-
28.08.2025 02:15;28.08.2025 02:30;207,000;-;-
28.08.2025 02:30;28.08.2025 02:45;207,000;-;-
28.08.2025 02:45;28.08.2025 03:00;207,000;-;-
28.08.2025 03:00;28.08.2025 03:15;207,250;-;-
28.08.2025 03:15;28.08.2025 03:30;207,250;-;-
28.08.2025 03:30;28.08.2025 03:45;207,250;-;-
28.08.2025 03:45;28.08.2025 04:00;207,250;-;-
28.08.2025 04:00;28.08.2025 04:15;203,500;-;-
28.08.2025 04:15;28.08.2025 04:30;203,500;-;-
28.08.2025 04:30;28.08.2025 04:45;203,500;-;-
28.08.2025 04:45;28.08.2025 05:00;203,500;-;-
28.08.2025 05:00;28.08.2025 05:15;193,500;-;-
28.08.2025 05:15;28.08.2025 05:30;193,500;-;-
28.08.2025 05:30;28.08.2025 05:45;193,500;-;-
28.08.2025 05:45;28.08.2025 06:00;193,500;-;-
28.08.2025 06:00;28.08.2025 06:15;207,250;-;-
28.08.2025 06:15;28.08.2025 06:30;207,250;-;-
28.08.2025 06:30;28.08.2025 06:45;207,250;-;-
28.08.2025 06:45;28.08.2025 07:00;207,250;-;-
28.08.2025 07:00;28.08.2025 07:15;207,500;-;-
28.08.2025 07:15;28.08.2025 07:30;207,500;-;-
28.08.2025 07:30;28.08.2025 07:45;207,500;-;-
28.08.2025 07:45;28.08.2025 08:00;207,500;-;-
28.08.2025 08:00;28.08.2025 08:15;207,750;-;-
28.08.2025 08:15;28.08.2025 08:30;207,750;-;-
28.08.2025 08:30;28.08.2025 08:45;207,750;-;-
28.08.2025 08:45;28.08.2025 09:00;207,750;-;-
28.08.2025 09:00;28.08.2025 09:15;207,250;-;-
28.08.2025 09:15;28.08.2025 09:30;207,250;-;-
28.08.2025 09:30;28.08.2025 09:45;207,250;-;-
28.08.2025 09:45;28.08.2025 10:00;207,250;-;-
28.08.2025 10:00;28.08.2025 10:15;204,750;-;-
28.08.2025 10:15;28.08.2025 10:30;204,750;-;-
28.08.2025 10:30;28.08.2025 10:45;204,750;-;-
28.08.2025 10:45;28.08.2025 11:00;204,750;-;-
28.08.2025 11:00;28.08.2025 11:15;197,750;-;-
28.08.2025 11:15;28.08.2025 11:30;197,750;-;-
28.08.2025 11:30;28.08.2025 11:45;197,750;-;-
28.08.2025 11:45;28.08.2025 12:00;197,750;-;-
28.08.2025 12:00;28.08.2025 12:15;162,000;-;-
28.08.2025 12:15;28.08.2025 12:30;162,000;-;-
28.08.2025 12:30;28.08.2025 12:45;162,000;-;-
28.08.2025 12:45;28.08.2025 13:00;162,000;-;-
28.08.2025 13:00;28.08.2025 13:15;189,000;-;-
28.08.2025 13:15;28.08.2025 13:30;189,000;-;-
28.08.2025 13:30;28.08.2025 13:45;189,000;-;-
28.08.2025 13:45;28.08.2025 14:00;189,000;-;-
28.08.2025 14:00;28.08.2025 14:15;158,000;-;-
28.08.2025 14:15;28.08.2025 14:30;158,000;-;-
28.08.2025 14:30;28.08.2025 14:45;158,000;-;-
28.08.2025 14:45;28.08.2025 15:00;158,000;-;-
28.08.2025 15:00;28.08.2025 15:15;135,000;-;-
28.08.2025 15:15;28.08.2025 15:30;135,000;-;-
28.08.2025 15:30;28.08.2025 15:45;135,000;-;-
28.08.2025 15:45;28.08.2025 16:00;135,000;-;-
28.08.2025 16:00;28.08.2025 16:15;167,500;-;-
28.08.2025 16:15;28.08.2025 16:30;167,500;-;-
28.08.2025 16:30;28.08.2025 16:45;167,500;-;-
28.08.2025 16:45;28.08.2025 17:00;167,500;-;-
28.08.2025 17:00;28.08.2025 17:15;201,500;-;-
28.08.2025 17:15;28.08.2025 17:30;201,500;-;-
28.08.2025 17:30;28.08.2025 17:45;201,500;-;-
28.08.2025 17:45;28.08.2025 18:00;201,500;-;-
28.08.2025 18:00;28.08.2025 18:15;200,750;-;-
28.08.2025 18:15;28.08.2025 18:30;200,750;-;-
28.08.2025 18:30;28.08.2025 18:45;200,750;-;-
28.08.2025 18:45;28.08.2025 19:00;200,750;-;-
28.08.2025 19:00;28.08.2025 19:15;201,500;-;-
28.08.2025 19:15;28.08.2025 19:30;201,500;-;-
28.08.2025 19:30;28.08.2025 19:45;201,500;-;-
28.08.2025 19:45;28.08.2025 20:00;201,500;-;-
28.08.2025 20:00;28.08.2025 20:15;204,500;-;-
28.08.2025 20:15;28.08.2025 20:30;204,500;-;-
28.08.2025 20:30;28.08.2025 20:45;204,500;-;-
28.08.2025 20:45;28.08.2025 21:00;204,500;-;-
28.08.2025 21:00;28.08.2025 21:15;201,000;-;-
28.08.2025 21:15;28.08.2025 21:30;201,000;-;-
28.08.2025 21:30;28.08.2025 21:45;201,000;-;-
28.08.2025 21:45;28.08.2025 22:00;201,000;-;-
28.08.2025 22:00;28.08.2025 22:15;208,500;-;-
28.08.2025 22:15;28.08.2025 22:30;208,500;-;-
28.08.2025 22:30;28.08.2025 22:45;208,500;-;-
28.08.2025 22:45;28.08.2025 23:00;208,500;-;-
28.08.2025 23:00;28.08.2025 23:15;209,250;-;-
28.08.2025 23:15;28.08.2025 23:30;209,250;-;-
28.08.2025 23:30;28.08.2025 23:45;209,250;-;-
28.08.2025 23:45;29.08.2025 00:00;209,250;-;-
29.08.2025 00:00;29.08.2025 00:15;210,000;-;-
29.08.2025 00:15;29.08.2025 00:30;210,000;-;-
29.08.2025 00:30;29.08.2025 00:45;210,000;-;-
29.08.2025 00:45;29.08.2025 01:00;210,000;-;-
29.08.2025 01:00;29.08.2025 01:15;210,500;-;-
29.08.2025 01:15;29.08.2025 01:30;210,500;-;-
29.08.2025 01:30;29.08.2025 01:45;210,500;-;-
29.08.2025 01:45;29.08.2025 02:00;210,500;-;-
29.08.2025 02:00;29.08.2025 02:15;210,750;-;-
29.08.2025 02:15;29.08.2025 02:30;210,750;-;-
29.08.2025 02:30;29.08.2025 02:45;210,750;-;-
29.08.2025 02:45;29.08.2025 03:00;210,750;-;-
29.08.2025 03:00;29.08.2025 03:15;210,750;-;-
29.08.2025 03:15;29.08.2025 03:30;210,750;-;-
29.08.2025 03:30;29.08.2025 03:45;210,750;-;-
29.08.2025 03:45;29.08.2025 04:00;210,750;-;-
29.08.2025 04:00;29.08.2025 04:15;211,250;-;-
29.08.2025 04:15;29.08.2025 04:30;211,250;-;-
29.08.2025 04:30;29.08.2025 04:45;211,250;-;-
29.08.2025 04:45;29.08.2025 05:00;211,250;-;-
29.08.2025 05:00;29.08.2025 05:15;211,000;-;-
29.08.2025 05:15;29.08.2025 05:30;211,000;-;-
29.08.2025 05:30;29.08.2025 05:45;211,000;-;-
29.08.2025 05:45;29.08.2025 06:00;211,000;-;-
29.08.2025 06:00;29.08.2025 06:15;211,250;-;-
29.08.2025 06:15;29.08.2025 06:30;211,250;-;-
29.08.2025 06:30;29.08.2025 06:45;211,250;-;-
29.08.2025 06:45;29.08.2025 07:00;211,250;-;-
29.08.2025 07:00;29.08.2025 07:15;212,000;-;-
29.08.2025 07:15;29.08.2025 07:30;212,000;-;-
29.08.2025 07:30;29.08.2025 07:45;212,000;-;-
29.08.2025 07:45;29.08.2025 08:00;212,000;-;-
29.08.2025 08:00;29.08.2025 08:15;207,250;-;-
29.08.2025 08:15;29.08.2025 08:30;207,250;-;-
29.08.2025 08:30;29.08.2025 08:45;207,250;-;-
29.08.2025 08:45;29.08.2025 09:00;207,250;-;-
29.08.2025 09:00;29.08.2025 09:15;118,000;-;-
29.08.2025 09:15;29.08.2025 09:30;118,000;-;-
29.08.2025 09:30;29.08.2025 09:45;118,000;-;-
29.08.2025 09:45;29.08.2025 10:00;118,000;-;-
29.08.2025 10:00;29.08.2025 10:15;0,000;-;-
29.08.2025 10:15;29.08.2025 10:30;0,000;-;-
29.08.2025 10:30;29.08.2025 10:45;0,000;-;-
29.08.2025 10:45;29.08.2025 11:00;0,000;-;-
29.08.2025 11:00;29.08.2025 11:15;0,000;-;-
29.08.2025 11:15;29.08.2025 11:30;0,000;-;-
29.08.2025 11:30;29.08.2025 11:45;0,000;-;-
29.08.2025 11:45;29.08.2025 12:00;0,000;-;-
29.08.2025 12:00;29.08.2025 12:15;0,000;-;-
29.08.2025 12:15;29.08.2025 12:30;0,000;-;-
29.08.2025 12:30;29.08.2025 12:45;0,000;-;-
29.08.2025 12:45;29.08.2025 13:00;0,000;-;-
29.08.2025 13:00;29.08.2025 13:15;0,000;-;-
29.08.2025 13:15;29.08.2025 13:30;0,000;-;-
29.08.2025 13:30;29.08.2025 13:45;0,000;-;-
29.08.2025 13:45;29.08.2025 14:00;0,000;-;-
29.08.2025 14:00;29.08.2025 14:15;0,000;-;-
29.08.2025 14:15;29.08.2025 14:30;0,000;-;-
29.08.2025 14:30;29.08.2025 14:45;0,000;-;-
29.08.2025 14:45;29.08.2025 15:00;0,000;-;-
29.08.2025 15:00;29.08.2025 15:15;0,000;-;-
29.08.2025 15:15;29.08.2025 15:30;0,000;-;-
29.08.2025 15:30;29.08.2025 15:45;0,000;-;-
29.08.2025 15:45;29.08.2025 16:00;0,000;-;-
29.08.2025 16:00;29.08.2025 16:15;47,250;-;-
29.08.2025 16:15;29.08.2025 16:30;47,250;-;-
29.08.2025 16:30;29.08.2025 16:45;47,250;-;-
29.08.2025 16:45;29.08.2025 17:00;47,250;-;-
29.08.2025 17:00;29.08.2025 17:15;169,750;-;-
29.08.2025 17:15;29.08.2025 17:30;169,750;-;-
29.08.2025 17:30;29.08.2025 17:45;169,750;-;-
29.08.2025 17:45;29.08.2025 18:00;169,750;-;-
29.08.2025 18:00;29.08.2025 18:15;167,750;-;-
29.08.2025 18:15;29.08.2025 18:30;167,750;-;-
29.08.2025 18:30;29.08.2025 18:45;167,750;-;-
29.08.2025 18:45;29.08.2025 19:00;167,750;-;-
29.08.2025 19:00;29.08.2025 19:15;207,250;-;-
29.08.2025 19:15;29.08.2025 19:30;207,250;-;-
29.08.2025 19:30;29.08.2025 19:45;207,250;-;-
29.08.2025 19:45;29.08.2025 20:00;207,250;-;-
29.08.2025 20:00;29.08.2025 20:15;207,250;-;-
29.08.2025 20:15;29.08.2025 20:30;207,250;-;-
29.08.2025 20:30;29.08.2025 20:45;207,250;-;-
29.08.2025 20:45;29.08.2025 21:00;207,250;-;-
29.08.2025 21:00;29.08.2025 21:15;208,750;-;-
29.08.2025 21:15;29.08.2025 21:30;208,750;-;-
29.08.2025 21:30;29.08.2025 21:45;208,750;-;-
29.08.2025 21:45;29.08.2025 22:00;208,750;-;-
29.08.2025 22:00;29.08.2025 22:15;209,500;-;-
29.08.2025 22:15;29.08.2025 22:30;209,500;-;-
29.08.2025 22:30;29.08.2025 22:45;209,500;-;-
29.08.2025 22:45;29.08.2025 23:00;209,500;-;-
29.08.2025 23:00;29.08.2025 23:15;146,750;-;-
29.08.2025 23:15;29.08.2025 23:30;146,750;-;-
29.08.2025 23:30;29.08.2025 23:45;146,750;-;-
29.08.2025 23:45;30.08.2025 00:00;146,750;-;-
30.08.2025 00:00;30.08.2025 00:15;0,000;-;-
30.08.2025 00:15;30.08.2025 00:30;0,000;-;-
30.08.2025 00:30;30.08.2025 00:45;0,000;-;-
30.08.2025 00:45;30.08.2025 01:00;0,000;-;-
30.08.2025 01:00;30.08.2025 01:15;0,000;-;-
30.08.2025 01:15;30.08.2025 01:30;0,000;-;-
30.08.2025 01:30;30.08.2025 01:45;0,000;-;-
30.08.2025 01:45;30.08.2025 02:00;0,000;-;-
30.08.2025 02:00;30.08.2025 02:15;0,000;-;-
