Datum von;Datum bis;Generation_DE Neurath C [MW] Berechnete Auflösungen;Generation_DE Neurath D [MW] Berechnete Auflösungen;Generation_DE Neurath E [MW] Berechnete Auflösungen;Generation_DE Neurath F [MW] Berechnete Auflösungen;Generation_DE Neurath G [MW] Berechnete Auflösungen;Generation_DE Neurath A [MW] Berechnete Auflösungen;Generation_DE Neurath B [MW] Berechnete Auflösungen;Generation_DE Batteriespeicher Neurath [MW] Berechnete Auflösungen
26.08.2025 15:15;26.08.2025 15:30;-;-;-;129,250;148,750;-;-;-
26.08.2025 15:30;26.08.2025 15:45;-;-;-;129,250;148,750;-;-;-
26.08.2025 15:45;26.08.2025 16:00;-;-;-;129,250;148,750;-;-;-
26.08.2025 16:00;26.08.2025 16:15;-;-;-;242,750;251,000;-;-;-
26.08.2025 16:15;26.08.2025 16:30;-;-;-;242,750;251,000;-;-;-
26.08.2025 16:30;26.08.2025 16:45;-;-;-;242,750;251,000;-;-;-
26.08.2025 16:45;26.08.2025 17:00;-;-;-;242,750;251,000;-;-;-
26.08.2025 17:00;26.08.2025 17:15;-;-;-;250,250;257,750;-;-;-
26.08.2025 17:15;26.08.2025 17:30;-;-;-;250,250;257,750;-;-;-
26.08.2025 17:30;26.08.2025 17:45;-;-;-;250,250;257,750;-;-;-
26.08.2025 17:45;26.08.2025 18:00;-;-;-;250,250;257,750;-;-;-
26.08.2025 18:00;26.08.2025 18:15;-;-;-;252,750;257,000;-;-;-
26.08.2025 18:15;26.08.2025 18:30;-;-;-;252,750;257,000;-;-;-
26.08.2025 18:30;26.08.2025 18:45;-;-;-;252,750;257,000;-;-;-
26.08.2025 18:45;26.08.2025 19:00;-;-;-;252,750;257,000;-;-;-
26.08.2025 19:00;26.08.2025 19:15;-;-;-;253,500;260,500;-;-;-
26.08.2025 19:15;26.08.2025 19:30;-;-;-;253,500;260,500;-;-;-
26.08.2025 19:30;26.08.2025 19:45;-;-;-;253,500;260,500;-;-;-
26.08.2025 19:45;26.08.2025 20:00;-;-;-;253,500;260,500;-;-;-
26.08.2025 20:00;26.08.2025 20:15;-;-;-;253,500;260,250;-;-;-
26.08.2025 20:15;26.08.2025 20:30;-;-;-;253,500;260,250;-;-;-
26.08.2025 20:30;26.08.2025 20:45;-;-;-;253,500;260,250;-;-;-
26.08.2025 20:45;26.08.2025 21:00;-;-;-;253,500;260,250;-;-;-
26.08.2025 21:00;26.08.2025 21:15;-;-;-;251,500;258,750;-;-;-
26.08.2025 21:15;26.08.2025 21:30;-;-;-;251,500;258,750;-;-;-
26.08.2025 21:30;26.08.2025 21:45;-;-;-;251,500;258,750;-;-;-
26.08.2025 21:45;26.08.2025 22:00;-;-;-;251,500;258,750;-;-;-
26.08.2025 22:00;26.08.2025 22:15;-;-;-;253,000;259,750;-;-;-
26.08.2025 22:15;26.08.2025 22:30;-;-;-;253,000;259,750;-;-;-
26.08.2025 22:30;26.08.2025 22:45;-;-;-;253,000;259,750;-;-;-
26.08.2025 22:45;26.08.2025 23:00;-;-;-;253,000;259,750;-;-;-
26.08.2025 23:00;26.08.2025 23:15;-;-;-;251,750;257,250;-;-;-
26.08.2025 23:15;26.08.2025 23:30;-;-;-;251,750;257,250;-;-;-
26.08.2025 23:30;26.08.2025 23:45;-;-;-;251,750;257,250;-;-;-
26.08.2025 23:45;27.08.2025 00:00;-;-;-;251,750;257,250;-;-;-
27.08.2025 00:00;27.08.2025 00:15;-;-;-;252,250;260,250;-;-;-
27.08.2025 00:15;27.08.2025 00:30;-;-;-;252,250;260,250;-;-;-
27.08.2025 00:30;27.08.2025 00:45;-;-;-;252,250;260,250;-;-;-
27.08.2025 00:45;27.08.2025 01:00;-;-;-;252,250;260,250;-;-;-
27.08.2025 01:00;27.08.2025 01:15;-;-;-;253,500;261,000;-;-;-
27.08.2025 01:15;27.08.2025 01:30;-;-;-;253,500;261,000;-;-;-
27.08.2025 01:30;27.08.2025 01:45;-;-;-;253,500;261,000;-;-;-
27.08.2025 01:45;27.08.2025 02:00;-;-;-;253,500;261,000;-;-;-
27.08.2025 02:00;27.08.2025 02:15;-;-;-;252,500;260,250;-;-;-
27.08.2025 02:15;27.08.2025 02:30;-;-;-;252,500;260,250;-;-;-
27.08.2025 02:30;27.08.2025 02:45;-;-;-;252,500;260,250;-;-;-
27.08.2025 02:45;27.08.2025 03:00;-;-;-;252,500;260,250;-;-;-
27.08.2025 03:00;27.08.2025 03:15;-;-;-;255,000;261,250;-;-;-
27.08.2025 03:15;27.08.2025 03:30;-;-;-;255,000;261,250;-;-;-
27.08.2025 03:30;27.08.2025 03:45;-;-;-;255,000;261,250;-;-;-
27.08.2025 03:45;27.08.2025 04:00;-;-;-;255,000;261,250;-;-;-
27.08.2025 04:00;27.08.2025 04:15;-;-;-;255,250;262,000;-;-;-
27.08.2025 04:15;27.08.2025 04:30;-;-;-;255,250;262,000;-;-;-
27.08.2025 04:30;27.08.2025 04:45;-;-;-;255,250;262,000;-;-;-
27.08.2025 04:45;27.08.2025 05:00;-;-;-;255,250;262,000;-;-;-
27.08.2025 05:00;27.08.2025 05:15;-;-;-;254,250;262,500;-;-;-
27.08.2025 05:15;27.08.2025 05:30;-;-;-;254,250;262,500;-;-;-
27.08.2025 05:30;27.08.2025 05:45;-;-;-;254,250;262,500;-;-;-
27.08.2025 05:45;27.08.2025 06:00;-;-;-;254,250;262,500;-;-;-
27.08.2025 06:00;27.08.2025 06:15;-;-;-;256,000;261,750;-;-;-
27.08.2025 06:15;27.08.2025 06:30;-;-;-;256,000;261,750;-;-;-
27.08.2025 06:30;27.08.2025 06:45;-;-;-;256,000;261,750;-;-;-
27.08.2025 06:45;27.08.2025 07:00;-;-;-;256,000;261,750;-;-;-
27.08.2025 07:00;27.08.2025 07:15;-;-;-;254,250;262,750;-;-;-
27.08.2025 07:15;27.08.2025 07:30;-;-;-;254,250;262,750;-;-;-
27.08.2025 07:30;27.08.2025 07:45;-;-;-;254,250;262,750;-;-;-
27.08.2025 07:45;27.08.2025 08:00;-;-;-;254,250;262,750;-;-;-
27.08.2025 08:00;27.08.2025 08:15;-;-;-;255,250;264,250;-;-;-
27.08.2025 08:15;27.08.2025 08:30;-;-;-;255,250;264,250;-;-;-
27.08.2025 08:30;27.08.2025 08:45;-;-;-;255,250;264,250;-;-;-
27.08.2025 08:45;27.08.2025 09:00;-;-;-;255,250;264,250;-;-;-
27.08.2025 09:00;27.08.2025 09:15;-;-;-;254,750;262,500;-;-;-
27.08.2025 09:15;27.08.2025 09:30;-;-;-;254,750;262,500;-;-;-
27.08.2025 09:30;27.08.2025 09:45;-;-;-;254,750;262,500;-;-;-
27.08.2025 09:45;27.08.2025 10:00;-;-;-;254,750;262,500;-;-;-
27.08.2025 10:00;27.08.2025 10:15;-;-;-;253,500;259,000;-;-;-
27.08.2025 10:15;27.08.2025 10:30;-;-;-;253,500;259,000;-;-;-
27.08.2025 10:30;27.08.2025 10:45;-;-;-;253,500;259,000;-;-;-
27.08.2025 10:45;27.08.2025 11:00;-;-;-;253,500;259,000;-;-;-
27.08.2025 11:00;27.08.2025 11:15;-;-;-;168,250;161,250;-;-;-
27.08.2025 11:15;27.08.2025 11:30;-;-;-;168,250;161,250;-;-;-
27.08.2025 11:30;27.08.2025 11:45;-;-;-;168,250;161,250;-;-;-
27.08.2025 11:45;27.08.2025 12:00;-;-;-;168,250;161,250;-;-;-
27.08.2025 12:00;27.08.2025 12:15;-;-;-;108,250;121,000;-;-;-
27.08.2025 12:15;27.08.2025 12:30;-;-;-;108,250;121,000;-;-;-
27.08.2025 12:30;27.08.2025 12:45;-;-;-;108,250;121,000;-;-;-
27.08.2025 12:45;27.08.2025 13:00;-;-;-;108,250;121,000;-;-;-
27.08.2025 13:00;27.08.2025 13:15;-;-;-;106,500;120,500;-;-;-
27.08.2025 13:15;27.08.2025 13:30;-;-;-;106,500;120,500;-;-;-
27.08.2025 13:30;27.08.2025 13:45;-;-;-;106,500;120,500;-;-;-
27.08.2025 13:45;27.08.2025 14:00;-;-;-;106,500;120,500;-;-;-
27.08.2025 14:00;27.08.2025 14:15;-;-;-;110,250;121,500;-;-;-
27.08.2025 14:15;27.08.2025 14:30;-;-;-;110,250;121,500;-;-;-
27.08.2025 14:30;27.08.2025 14:45;-;-;-;110,250;121,500;-;-;-
27.08.2025 14:45;27.08.2025 15:00;-;-;-;110,250;121,500;-;-;-
27.08.2025 15:00;27.08.2025 15:15;-;-;-;135,500;148,500;-;-;-
27.08.2025 15:15;27.08.2025 15:30;-;-;-;135,500;148,500;-;-;-
27.08.2025 15:30;27.08.2025 15:45;-;-;-;135,500;148,500;-;-;-
27.08.2025 15:45;27.08.2025 16:00;-;-;-;135,500;148,500;-;-;-
27.08.2025 16:00;27.08.2025 16:15;-;-;-;246,500;251,250;-;-;-
27.08.2025 16:15;27.08.2025 16:30;-;-;-;246,500;251,250;-;-;-
27.08.2025 16:30;27.08.2025 16:45;-;-;-;246,500;251,250;-;-;-
27.08.2025 16:45;27.08.2025 17:00;-;-;-;246,500;251,250;-;-;-
27.08.2025 17:00;27.08.2025 17:15;-;-;-;251,250;260,750;-;-;-
27.08.2025 17:15;27.08.2025 17:30;-;-;-;251,250;260,750;-;-;-
27.08.2025 17:30;27.08.2025 17:45;-;-;-;251,250;260,750;-;-;-
27.08.2025 17:45;27.08.2025 18:00;-;-;-;251,250;260,750;-;-;-
27.08.2025 18:00;27.08.2025 18:15;-;-;-;250,750;258,750;-;-;-
27.08.2025 18:15;27.08.2025 18:30;-;-;-;250,750;258,750;-;-;-
27.08.2025 18:30;27.08.2025 18:45;-;-;-;250,750;258,750;-;-;-
27.08.2025 18:45;27.08.2025 19:00;-;-;-;250,750;258,750;-;-;-
27.08.2025 19:00;27.08.2025 19:15;-;-;-;251,000;260,000;-;-;-
27.08.2025 19:15;27.08.2025 19:30;-;-;-;251,000;260,000;-;-;-
27.08.2025 19:30;27.08.2025 19:45;-;-;-;251,000;260,000;-;-;-
27.08.2025 19:45;27.08.2025 20:00;-;-;-;251,000;260,000;-;-;-
27.08.2025 20:00;27.08.2025 20:15;-;-;-;253,000;258,750;-;-;-
27.08.2025 20:15;27.08.2025 20:30;-;-;-;253,000;258,750;-;-;-
27.08.2025 20:30;27.08.2025 20:45;-;-;-;253,000;258,750;-;-;-
27.08.2025 20:45;27.08.2025 21:00;-;-;-;253,000;258,750;-;-;-
27.08.2025 21:00;27.08.2025 21:15;-;-;-;252,750;258,500;-;-;-
27.08.2025 21:15;27.08.2025 21:30;-;-;-;252,750;258,500;-;-;-
27.08.2025 21:30;27.08.2025 21:45;-;-;-;252,750;258,500;-;-;-
27.08.2025 21:45;27.08.2025 22:00;-;-;-;252,750;258,500;-;-;-
27.08.2025 22:00;27.08.2025 22:15;-;-;-;253,500;260,250;-;-;-
27.08.2025 22:15;27.08.2025 22:30;-;-;-;253,500;260,250;-;-;-
27.08.2025 22:30;27.08.2025 22:45;-;-;-;253,500;260,250;-;-;-
27.08.2025 22:45;27.08.2025 23:00;-;-;-;253,500;260,250;-;-;-
27.08.2025 23:00;27.08.2025 23:15;-;-;-;253,500;261,750;-;-;-
27.08.2025 23:15;27.08.2025 23:30;-;-;-;253,500;261,750;-;-;-
27.08.2025 23:30;27.08.2025 23:45;-;-;-;253,500;261,750;-;-;-
27.08.2025 23:45;28.08.2025 00:00;-;-;-;253,500;261,750;-;-;-
