Datum von;Datum bis;Generation_DE Irsching 3 [MW] Berechnete Auflösungen;Generation_DE Irsching 4 [MW] Berechnete Auflösungen;Generation_DE Irsching 6 [MW] Berechnete Auflösungen;Generation_DE Irsching 5 DT [MW] Berechnete Auflösungen;Generation_DE Irsching 5 GT2 [MW] Berechnete Auflösungen;Generation_DE Irsching 5 GT1 [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;-;134,250;-;0,000;-;-
26.08.2025 00:15;26.08.2025 00:30;-;134,250;-;0,000;-;-
26.08.2025 00:30;26.08.2025 00:45;-;134,250;-;0,000;-;-
26.08.2025 00:45;26.08.2025 01:00;-;134,250;-;0,000;-;-
26.08.2025 01:00;26.08.2025 01:15;-;134,250;-;0,000;-;-
26.08.2025 01:15;26.08.2025 01:30;-;134,250;-;0,000;-;-
26.08.2025 01:30;26.08.2025 01:45;-;134,250;-;0,000;-;-
26.08.2025 01:45;26.08.2025 02:00;-;134,250;-;0,000;-;-
26.08.2025 02:00;26.08.2025 02:15;-;134,250;-;0,000;-;-
26.08.2025 02:15;26.08.2025 02:30;-;134,250;-;0,000;-;-
26.08.2025 02:30;26.08.2025 02:45;-;134,250;-;0,000;-;-
26.08.2025 02:45;26.08.2025 03:00;-;134,250;-;0,000;-;-
26.08.2025 03:00;26.08.2025 03:15;-;134,250;-;0,000;-;-
26.08.2025 03:15;26.08.2025 03:30;-;134,250;-;0,000;-;-
26.08.2025 03:30;26.08.2025 03:45;-;134,250;-;0,000;-;-
26.08.2025 03:45;26.08.2025 04:00;-;134,250;-;0,000;-;-
26.08.2025 04:00;26.08.2025 04:15;-;134,250;-;0,000;-;-
26.08.2025 04:15;26.08.2025 04:30;-;134,250;-;0,000;-;-
26.08.2025 04:30;26.08.2025 04:45;-;134,250;-;0,000;-;-
26.08.2025 04:45;26.08.2025 05:00;-;134,250;-;0,000;-;-
26.08.2025 05:00;26.08.2025 05:15;-;134,250;-;0,000;-;-
26.08.2025 05:15;26.08.2025 05:30;-;134,250;-;0,000;-;-
26.08.2025 05:30;26.08.2025 05:45;-;134,250;-;0,000;-;-
26.08.2025 05:45;26.08.2025 06:00;-;134,250;-;0,000;-;-
26.08.2025 06:00;26.08.2025 06:15;-;134,250;-;0,000;-;-
26.08.2025 06:15;26.08.2025 06:30;-;134,250;-;0,000;-;-
26.08.2025 06:30;26.08.2025 06:45;-;134,250;-;0,000;-;-
26.08.2025 06:45;26.08.2025 07:00;-;134,250;-;0,000;-;-
26.08.2025 07:00;26.08.2025 07:15;-;134,250;-;0,000;-;-
26.08.2025 07:15;26.08.2025 07:30;-;134,250;-;0,000;-;-
26.08.2025 07:30;26.08.2025 07:45;-;134,250;-;0,000;-;-
