Datum von;Datum bis;Generation_DE GT61 [MW] Berechnete Auflösungen;Generation_DE GT62 [MW] Berechnete Auflösungen;Generation_DE DT60 [MW] Berechnete Auflösungen
29.08.2025 17:00;29.08.2025 17:15;0,000;0,000;0,000
29.08.2025 17:15;29.08.2025 17:30;0,000;0,000;0,000
29.08.2025 17:30;29.08.2025 17:45;0,000;0,000;0,000
29.08.2025 17:45;29.08.2025 18:00;0,000;0,000;0,000
29.08.2025 18:00;29.08.2025 18:15;0,000;0,000;0,000
29.08.2025 18:15;29.08.2025 18:30;0,000;0,000;0,000
29.08.2025 18:30;29.08.2025 18:45;0,000;0,000;0,000
29.08.2025 18:45;29.08.2025 19:00;0,000;0,000;0,000
29.08.2025 19:00;29.08.2025 19:15;0,000;0,000;0,000
29.08.2025 19:15;29.08.2025 19:30;0,000;0,000;0,000
29.08.2025 19:30;29.08.2025 19:45;0,000;0,000;0,000
29.08.2025 19:45;29.08.2025 20:00;0,000;0,000;0,000
29.08.2025 20:00;29.08.2025 20:15;0,000;0,000;0,000
29.08.2025 20:15;29.08.2025 20:30;0,000;0,000;0,000
29.08.2025 20:30;29.08.2025 20:45;0,000;0,000;0,000
29.08.2025 20:45;29.08.2025 21:00;0,000;0,000;0,000
29.08.2025 21:00;29.08.2025 21:15;0,000;0,000;0,000
29.08.2025 21:15;29.08.2025 21:30;0,000;0,000;0,000
29.08.2025 21:30;29.08.2025 21:45;0,000;0,000;0,000
29.08.2025 21:45;29.08.2025 22:00;0,000;0,000;0,000
29.08.2025 22:00;29.08.2025 22:15;0,000;0,000;0,000
29.08.2025 22:15;29.08.2025 22:30;0,000;0,000;0,000
29.08.2025 22:30;29.08.2025 22:45;0,000;0,000;0,000
29.08.2025 22:45;29.08.2025 23:00;0,000;0,000;0,000
29.08.2025 23:00;29.08.2025 23:15;0,000;0,000;0,000
29.08.2025 23:15;29.08.2025 23:30;0,000;0,000;0,000
29.08.2025 23:30;29.08.2025 23:45;0,000;0,000;0,000
29.08.2025 23:45;30.08.2025 00:00;0,000;0,000;0,000
30.08.2025 00:00;30.08.2025 00:15;0,000;0,000;0,000
30.08.2025 00:15;30.08.2025 00:30;0,000;0,000;0,000
30.08.2025 00:30;30.08.2025 00:45;0,000;0,000;0,000
30.08.2025 00:45;30.08.2025 01:00;0,000;0,000;0,000
30.08.2025 01:00;30.08.2025 01:15;0,000;0,000;0,000
30.08.2025 01:15;30.08.2025 01:30;0,000;0,000;0,000
30.08.2025 01:30;30.08.2025 01:45;0,000;0,000;0,000
30.08.2025 01:45;30.08.2025 02:00;0,000;0,000;0,000
30.08.2025 02:00;30.08.2025 02:15;0,000;0,000;0,000
30.08.2025 02:15;30.08.2025 02:30;0,000;0,000;0,000
30.08.2025 02:30;30.08.2025 02:45;0,000;0,000;0,000
30.08.2025 02:45;30.08.2025 03:00;0,000;0,000;0,000
30.08.2025 03:00;30.08.2025 03:15;0,000;0,000;0,000
30.08.2025 03:15;30.08.2025 03:30;0,000;0,000;0,000
