Datum von;Datum bis;Generation_DE GT12 [MW] Berechnete Auflösungen;Generation_DE GT11 [MW] Berechnete Auflösungen;Generation_DE DT10 [MW] Berechnete Auflösungen
27.08.2025 11:45;27.08.2025 12:00;-;-;-
27.08.2025 12:00;27.08.2025 12:15;-;-;-
27.08.2025 12:15;27.08.2025 12:30;-;-;-
27.08.2025 12:30;27.08.2025 12:45;-;-;-
27.08.2025 12:45;27.08.2025 13:00;-;-;-
27.08.2025 13:00;27.08.2025 13:15;-;-;-
27.08.2025 13:15;27.08.2025 13:30;-;-;-
27.08.2025 13:30;27.08.2025 13:45;-;-;-
27.08.2025 13:45;27.08.2025 14:00;-;-;-
27.08.2025 14:00;27.08.2025 14:15;-;-;-
27.08.2025 14:15;27.08.2025 14:30;-;-;-
27.08.2025 14:30;27.08.2025 14:45;-;-;-
27.08.2025 14:45;27.08.2025 15:00;-;-;-
27.08.2025 15:00;27.08.2025 15:15;-;-;-
27.08.2025 15:15;27.08.2025 15:30;-;-;-
27.08.2025 15:30;27.08.2025 15:45;-;-;-
27.08.2025 15:45;27.08.2025 16:00;-;-;-
27.08.2025 16:00;27.08.2025 16:15;-;-;-
27.08.2025 16:15;27.08.2025 16:30;-;-;-
27.08.2025 16:30;27.08.2025 16:45;-;-;-
27.08.2025 16:45;27.08.2025 17:00;-;-;-
27.08.2025 17:00;27.08.2025 17:15;-;-;-
27.08.2025 17:15;27.08.2025 17:30;-;-;-
27.08.2025 17:30;27.08.2025 17:45;-;-;-
27.08.2025 17:45;27.08.2025 18:00;-;-;-
27.08.2025 18:00;27.08.2025 18:15;-;-;-
27.08.2025 18:15;27.08.2025 18:30;-;-;-
27.08.2025 18:30;27.08.2025 18:45;-;-;-
27.08.2025 18:45;27.08.2025 19:00;-;-;-
27.08.2025 19:00;27.08.2025 19:15;-;-;-
27.08.2025 19:15;27.08.2025 19:30;-;-;-
27.08.2025 19:30;27.08.2025 19:45;-;-;-
27.08.2025 19:45;27.08.2025 20:00;-;-;-
27.08.2025 20:00;27.08.2025 20:15;-;-;-
27.08.2025 20:15;27.08.2025 20:30;-;-;-
27.08.2025 20:30;27.08.2025 20:45;-;-;-
27.08.2025 20:45;27.08.2025 21:00;-;-;-
27.08.2025 21:00;27.08.2025 21:15;-;-;-
27.08.2025 21:15;27.08.2025 21:30;-;-;-
27.08.2025 21:30;27.08.2025 21:45;-;-;-
27.08.2025 21:45;27.08.2025 22:00;-;-;-
27.08.2025 22:00;27.08.2025 22:15;-;-;-
27.08.2025 22:15;27.08.2025 22:30;-;-;-
27.08.2025 22:30;27.08.2025 22:45;-;-;-
27.08.2025 22:45;27.08.2025 23:00;-;-;-
27.08.2025 23:00;27.08.2025 23:15;-;-;-
27.08.2025 23:15;27.08.2025 23:30;-;-;-
27.08.2025 23:30;27.08.2025 23:45;-;-;-
27.08.2025 23:45;28.08.2025 00:00;-;-;-
28.08.2025 00:00;28.08.2025 00:15;41,500;41,500;-
28.08.2025 00:15;28.08.2025 00:30;41,500;41,500;-
28.08.2025 00:30;28.08.2025 00:45;41,500;41,500;-
28.08.2025 00:45;28.08.2025 01:00;41,500;41,500;-
28.08.2025 01:00;28.08.2025 01:15;43,000;43,000;-
28.08.2025 01:15;28.08.2025 01:30;43,000;43,000;-
28.08.2025 01:30;28.08.2025 01:45;43,000;43,000;-
28.08.2025 01:45;28.08.2025 02:00;43,000;43,000;-
28.08.2025 02:00;28.08.2025 02:15;43,250;43,250;-
28.08.2025 02:15;28.08.2025 02:30;43,250;43,250;-
28.08.2025 02:30;28.08.2025 02:45;43,250;43,250;-
28.08.2025 02:45;28.08.2025 03:00;43,250;43,250;-
28.08.2025 03:00;28.08.2025 03:15;43,750;43,750;-
28.08.2025 03:15;28.08.2025 03:30;43,750;43,750;-
28.08.2025 03:30;28.08.2025 03:45;43,750;43,750;-
28.08.2025 03:45;28.08.2025 04:00;43,750;43,750;-
28.08.2025 04:00;28.08.2025 04:15;45,000;45,000;-
28.08.2025 04:15;28.08.2025 04:30;45,000;45,000;-
28.08.2025 04:30;28.08.2025 04:45;45,000;45,000;-
28.08.2025 04:45;28.08.2025 05:00;45,000;45,000;-
28.08.2025 05:00;28.08.2025 05:15;44,000;44,000;-
28.08.2025 05:15;28.08.2025 05:30;44,000;44,000;-
28.08.2025 05:30;28.08.2025 05:45;44,000;44,000;-
28.08.2025 05:45;28.08.2025 06:00;44,000;44,000;-
28.08.2025 06:00;28.08.2025 06:15;45,000;45,000;-
28.08.2025 06:15;28.08.2025 06:30;45,000;45,000;-
28.08.2025 06:30;28.08.2025 06:45;45,000;45,000;-
28.08.2025 06:45;28.08.2025 07:00;45,000;45,000;-
28.08.2025 07:00;28.08.2025 07:15;46,750;46,500;-
28.08.2025 07:15;28.08.2025 07:30;46,750;46,500;-
28.08.2025 07:30;28.08.2025 07:45;46,750;46,500;-
28.08.2025 07:45;28.08.2025 08:00;46,750;46,500;-
28.08.2025 08:00;28.08.2025 08:15;47,250;47,250;-
28.08.2025 08:15;28.08.2025 08:30;47,250;47,250;-
28.08.2025 08:30;28.08.2025 08:45;47,250;47,250;-
28.08.2025 08:45;28.08.2025 09:00;47,250;47,250;-
28.08.2025 09:00;28.08.2025 09:15;47,250;47,000;-
28.08.2025 09:15;28.08.2025 09:30;47,250;47,000;-
28.08.2025 09:30;28.08.2025 09:45;47,250;47,000;-
28.08.2025 09:45;28.08.2025 10:00;47,250;47,000;-
28.08.2025 10:00;28.08.2025 10:15;45,750;45,750;-
28.08.2025 10:15;28.08.2025 10:30;45,750;45,750;-
28.08.2025 10:30;28.08.2025 10:45;45,750;45,750;-
28.08.2025 10:45;28.08.2025 11:00;45,750;45,750;-
28.08.2025 11:00;28.08.2025 11:15;43,250;43,250;-
28.08.2025 11:15;28.08.2025 11:30;43,250;43,250;-
28.08.2025 11:30;28.08.2025 11:45;43,250;43,250;-
28.08.2025 11:45;28.08.2025 12:00;43,250;43,250;-
28.08.2025 12:00;28.08.2025 12:15;42,500;42,250;-
28.08.2025 12:15;28.08.2025 12:30;42,500;42,250;-
28.08.2025 12:30;28.08.2025 12:45;42,500;42,250;-
28.08.2025 12:45;28.08.2025 13:00;42,500;42,250;-
28.08.2025 13:00;28.08.2025 13:15;43,250;43,250;-
28.08.2025 13:15;28.08.2025 13:30;43,250;43,250;-
28.08.2025 13:30;28.08.2025 13:45;43,250;43,250;-
28.08.2025 13:45;28.08.2025 14:00;43,250;43,250;-
28.08.2025 14:00;28.08.2025 14:15;40,750;40,750;-
28.08.2025 14:15;28.08.2025 14:30;40,750;40,750;-
28.08.2025 14:30;28.08.2025 14:45;40,750;40,750;-
28.08.2025 14:45;28.08.2025 15:00;40,750;40,750;-
28.08.2025 15:00;28.08.2025 15:15;40,500;40,500;-
28.08.2025 15:15;28.08.2025 15:30;40,500;40,500;-
28.08.2025 15:30;28.08.2025 15:45;40,500;40,500;-
28.08.2025 15:45;28.08.2025 16:00;40,500;40,500;-
28.08.2025 16:00;28.08.2025 16:15;40,250;40,250;-
28.08.2025 16:15;28.08.2025 16:30;40,250;40,250;-
28.08.2025 16:30;28.08.2025 16:45;40,250;40,250;-
28.08.2025 16:45;28.08.2025 17:00;40,250;40,250;-
28.08.2025 17:00;28.08.2025 17:15;42,500;42,500;-
28.08.2025 17:15;28.08.2025 17:30;42,500;42,500;-
28.08.2025 17:30;28.08.2025 17:45;42,500;42,500;-
28.08.2025 17:45;28.08.2025 18:00;42,500;42,500;-
28.08.2025 18:00;28.08.2025 18:15;44,500;44,500;-
28.08.2025 18:15;28.08.2025 18:30;44,500;44,500;-
28.08.2025 18:30;28.08.2025 18:45;44,500;44,500;-
28.08.2025 18:45;28.08.2025 19:00;44,500;44,500;-
28.08.2025 19:00;28.08.2025 19:15;45,000;45,000;-
28.08.2025 19:15;28.08.2025 19:30;45,000;45,000;-
28.08.2025 19:30;28.08.2025 19:45;45,000;45,000;-
28.08.2025 19:45;28.08.2025 20:00;45,000;45,000;-
28.08.2025 20:00;28.08.2025 20:15;45,000;45,000;-
28.08.2025 20:15;28.08.2025 20:30;45,000;45,000;-
28.08.2025 20:30;28.08.2025 20:45;45,000;45,000;-
28.08.2025 20:45;28.08.2025 21:00;45,000;45,000;-
28.08.2025 21:00;28.08.2025 21:15;44,750;44,750;-
28.08.2025 21:15;28.08.2025 21:30;44,750;44,750;-
28.08.2025 21:30;28.08.2025 21:45;44,750;44,750;-
28.08.2025 21:45;28.08.2025 22:00;44,750;44,750;-
28.08.2025 22:00;28.08.2025 22:15;38,750;38,750;-
28.08.2025 22:15;28.08.2025 22:30;38,750;38,750;-
28.08.2025 22:30;28.08.2025 22:45;38,750;38,750;-
28.08.2025 22:45;28.08.2025 23:00;38,750;38,750;-
28.08.2025 23:00;28.08.2025 23:15;36,000;36,000;-
28.08.2025 23:15;28.08.2025 23:30;36,000;36,000;-
28.08.2025 23:30;28.08.2025 23:45;36,000;36,000;-
28.08.2025 23:45;29.08.2025 00:00;36,000;36,000;-
29.08.2025 00:00;29.08.2025 00:15;35,000;35,000;-
29.08.2025 00:15;29.08.2025 00:30;35,000;35,000;-
29.08.2025 00:30;29.08.2025 00:45;35,000;35,000;-
29.08.2025 00:45;29.08.2025 01:00;35,000;35,000;-
29.08.2025 01:00;29.08.2025 01:15;35,750;35,750;-
29.08.2025 01:15;29.08.2025 01:30;35,750;35,750;-
29.08.2025 01:30;29.08.2025 01:45;35,750;35,750;-
29.08.2025 01:45;29.08.2025 02:00;35,750;35,750;-
29.08.2025 02:00;29.08.2025 02:15;37,250;37,250;-
29.08.2025 02:15;29.08.2025 02:30;37,250;37,250;-
29.08.2025 02:30;29.08.2025 02:45;37,250;37,250;-
29.08.2025 02:45;29.08.2025 03:00;37,250;37,250;-
29.08.2025 03:00;29.08.2025 03:15;37,000;37,000;-
29.08.2025 03:15;29.08.2025 03:30;37,000;37,000;-
29.08.2025 03:30;29.08.2025 03:45;37,000;37,000;-
29.08.2025 03:45;29.08.2025 04:00;37,000;37,000;-
29.08.2025 04:00;29.08.2025 04:15;38,500;38,500;-
29.08.2025 04:15;29.08.2025 04:30;38,500;38,500;-
29.08.2025 04:30;29.08.2025 04:45;38,500;38,500;-
29.08.2025 04:45;29.08.2025 05:00;38,500;38,500;-
29.08.2025 05:00;29.08.2025 05:15;38,500;38,500;-
29.08.2025 05:15;29.08.2025 05:30;38,500;38,500;-
29.08.2025 05:30;29.08.2025 05:45;38,500;38,500;-
29.08.2025 05:45;29.08.2025 06:00;38,500;38,500;-
29.08.2025 06:00;29.08.2025 06:15;43,000;43,000;-
29.08.2025 06:15;29.08.2025 06:30;43,000;43,000;-
29.08.2025 06:30;29.08.2025 06:45;43,000;43,000;-
29.08.2025 06:45;29.08.2025 07:00;43,000;43,000;-
29.08.2025 07:00;29.08.2025 07:15;49,000;46,000;-
29.08.2025 07:15;29.08.2025 07:30;49,000;46,000;-
29.08.2025 07:30;29.08.2025 07:45;49,000;46,000;-
29.08.2025 07:45;29.08.2025 08:00;49,000;46,000;-
29.08.2025 08:00;29.08.2025 08:15;49,000;48,750;-
29.08.2025 08:15;29.08.2025 08:30;49,000;48,750;-
29.08.2025 08:30;29.08.2025 08:45;49,000;48,750;-
29.08.2025 08:45;29.08.2025 09:00;49,000;48,750;-
29.08.2025 09:00;29.08.2025 09:15;41,250;40,500;-
29.08.2025 09:15;29.08.2025 09:30;41,250;40,500;-
29.08.2025 09:30;29.08.2025 09:45;41,250;40,500;-
29.08.2025 09:45;29.08.2025 10:00;41,250;40,500;-
29.08.2025 10:00;29.08.2025 10:15;31,250;31,250;-
29.08.2025 10:15;29.08.2025 10:30;31,250;31,250;-
29.08.2025 10:30;29.08.2025 10:45;31,250;31,250;-
29.08.2025 10:45;29.08.2025 11:00;31,250;31,250;-
29.08.2025 11:00;29.08.2025 11:15;22,750;22,750;-
29.08.2025 11:15;29.08.2025 11:30;22,750;22,750;-
29.08.2025 11:30;29.08.2025 11:45;22,750;22,750;-
29.08.2025 11:45;29.08.2025 12:00;22,750;22,750;-
29.08.2025 12:00;29.08.2025 12:15;22,750;22,750;-
29.08.2025 12:15;29.08.2025 12:30;22,750;22,750;-
29.08.2025 12:30;29.08.2025 12:45;22,750;22,750;-
29.08.2025 12:45;29.08.2025 13:00;22,750;22,750;-
29.08.2025 13:00;29.08.2025 13:15;24,000;24,000;-
29.08.2025 13:15;29.08.2025 13:30;24,000;24,000;-
29.08.2025 13:30;29.08.2025 13:45;24,000;24,000;-
29.08.2025 13:45;29.08.2025 14:00;24,000;24,000;-
29.08.2025 14:00;29.08.2025 14:15;24,000;24,250;-
29.08.2025 14:15;29.08.2025 14:30;24,000;24,250;-
29.08.2025 14:30;29.08.2025 14:45;24,000;24,250;-
29.08.2025 14:45;29.08.2025 15:00;24,000;24,250;-
29.08.2025 15:00;29.08.2025 15:15;23,250;23,250;-
29.08.2025 15:15;29.08.2025 15:30;23,250;23,250;-
29.08.2025 15:30;29.08.2025 15:45;23,250;23,250;-
29.08.2025 15:45;29.08.2025 16:00;23,250;23,250;-
29.08.2025 16:00;29.08.2025 16:15;24,250;24,250;-
29.08.2025 16:15;29.08.2025 16:30;24,250;24,250;-
29.08.2025 16:30;29.08.2025 16:45;24,250;24,250;-
29.08.2025 16:45;29.08.2025 17:00;24,250;24,250;-
29.08.2025 17:00;29.08.2025 17:15;25,750;25,750;-
29.08.2025 17:15;29.08.2025 17:30;25,750;25,750;-
29.08.2025 17:30;29.08.2025 17:45;25,750;25,750;-
29.08.2025 17:45;29.08.2025 18:00;25,750;25,750;-
29.08.2025 18:00;29.08.2025 18:15;33,750;33,750;-
29.08.2025 18:15;29.08.2025 18:30;33,750;33,750;-
29.08.2025 18:30;29.08.2025 18:45;33,750;33,750;-
29.08.2025 18:45;29.08.2025 19:00;33,750;33,750;-
29.08.2025 19:00;29.08.2025 19:15;36,250;36,250;-
29.08.2025 19:15;29.08.2025 19:30;36,250;36,250;-
29.08.2025 19:30;29.08.2025 19:45;36,250;36,250;-
29.08.2025 19:45;29.08.2025 20:00;36,250;36,250;-
29.08.2025 20:00;29.08.2025 20:15;43,500;43,500;-
29.08.2025 20:15;29.08.2025 20:30;43,500;43,500;-
29.08.2025 20:30;29.08.2025 20:45;43,500;43,500;-
29.08.2025 20:45;29.08.2025 21:00;43,500;43,500;-
29.08.2025 21:00;29.08.2025 21:15;38,500;38,500;-
29.08.2025 21:15;29.08.2025 21:30;38,500;38,500;-
29.08.2025 21:30;29.08.2025 21:45;38,500;38,500;-
29.08.2025 21:45;29.08.2025 22:00;38,500;38,500;-
29.08.2025 22:00;29.08.2025 22:15;33,750;33,750;-
29.08.2025 22:15;29.08.2025 22:30;33,750;33,750;-
29.08.2025 22:30;29.08.2025 22:45;33,750;33,750;-
29.08.2025 22:45;29.08.2025 23:00;33,750;33,750;-
29.08.2025 23:00;29.08.2025 23:15;34,500;34,500;-
29.08.2025 23:15;29.08.2025 23:30;34,500;34,500;-
29.08.2025 23:30;29.08.2025 23:45;34,500;34,500;-
29.08.2025 23:45;30.08.2025 00:00;34,500;34,500;-
30.08.2025 00:00;30.08.2025 00:15;35,000;35,000;-
30.08.2025 00:15;30.08.2025 00:30;35,000;35,000;-
30.08.2025 00:30;30.08.2025 00:45;35,000;35,000;-
30.08.2025 00:45;30.08.2025 01:00;35,000;35,000;-
30.08.2025 01:00;30.08.2025 01:15;34,750;34,750;-
30.08.2025 01:15;30.08.2025 01:30;34,750;34,750;-
30.08.2025 01:30;30.08.2025 01:45;34,750;34,750;-
30.08.2025 01:45;30.08.2025 02:00;34,750;34,750;-
30.08.2025 02:00;30.08.2025 02:15;34,500;34,500;-
30.08.2025 02:15;30.08.2025 02:30;34,500;34,500;-
30.08.2025 02:30;30.08.2025 02:45;34,500;34,500;-
30.08.2025 02:45;30.08.2025 03:00;34,500;34,500;-
30.08.2025 03:00;30.08.2025 03:15;30,750;30,750;-
30.08.2025 03:15;30.08.2025 03:30;30,750;30,750;-
30.08.2025 03:30;30.08.2025 03:45;30,750;30,750;-
30.08.2025 03:45;30.08.2025 04:00;30,750;30,750;-
30.08.2025 04:00;30.08.2025 04:15;34,250;34,250;-
30.08.2025 04:15;30.08.2025 04:30;34,250;34,250;-
30.08.2025 04:30;30.08.2025 04:45;34,250;34,250;-
30.08.2025 04:45;30.08.2025 05:00;34,250;34,250;-
30.08.2025 05:00;30.08.2025 05:15;34,500;34,500;-
30.08.2025 05:15;30.08.2025 05:30;34,500;34,500;-
30.08.2025 05:30;30.08.2025 05:45;34,500;34,500;-
30.08.2025 05:45;30.08.2025 06:00;34,500;34,500;-
30.08.2025 06:00;30.08.2025 06:15;34,500;34,500;-
30.08.2025 06:15;30.08.2025 06:30;34,500;34,500;-
30.08.2025 06:30;30.08.2025 06:45;34,500;34,500;-
30.08.2025 06:45;30.08.2025 07:00;34,500;34,500;-
30.08.2025 07:00;30.08.2025 07:15;34,750;34,750;-
30.08.2025 07:15;30.08.2025 07:30;34,750;34,750;-
30.08.2025 07:30;30.08.2025 07:45;34,750;34,750;-
30.08.2025 07:45;30.08.2025 08:00;34,750;34,750;-
30.08.2025 08:00;30.08.2025 08:15;36,000;36,000;-
30.08.2025 08:15;30.08.2025 08:30;36,000;36,000;-
30.08.2025 08:30;30.08.2025 08:45;36,000;36,000;-
30.08.2025 08:45;30.08.2025 09:00;36,000;36,000;-
30.08.2025 09:00;30.08.2025 09:15;32,250;32,250;-
30.08.2025 09:15;30.08.2025 09:30;32,250;32,250;-
30.08.2025 09:30;30.08.2025 09:45;32,250;32,250;-
30.08.2025 09:45;30.08.2025 10:00;32,250;32,250;-
30.08.2025 10:00;30.08.2025 10:15;29,250;15,000;-
30.08.2025 10:15;30.08.2025 10:30;29,250;15,000;-
30.08.2025 10:30;30.08.2025 10:45;29,250;15,000;-
30.08.2025 10:45;30.08.2025 11:00;29,250;15,000;-
30.08.2025 11:00;30.08.2025 11:15;21,750;0,000;-
30.08.2025 11:15;30.08.2025 11:30;21,750;0,000;-
30.08.2025 11:30;30.08.2025 11:45;21,750;0,000;-
30.08.2025 11:45;30.08.2025 12:00;21,750;0,000;-
30.08.2025 12:00;30.08.2025 12:15;21,500;0,000;-
30.08.2025 12:15;30.08.2025 12:30;21,500;0,000;-
30.08.2025 12:30;30.08.2025 12:45;21,500;0,000;-
30.08.2025 12:45;30.08.2025 13:00;21,500;0,000;-
30.08.2025 13:00;30.08.2025 13:15;21,750;0,000;-
30.08.2025 13:15;30.08.2025 13:30;21,750;0,000;-
30.08.2025 13:30;30.08.2025 13:45;21,750;0,000;-
30.08.2025 13:45;30.08.2025 14:00;21,750;0,000;-
30.08.2025 14:00;30.08.2025 14:15;21,500;0,000;-
30.08.2025 14:15;30.08.2025 14:30;21,500;0,000;-
30.08.2025 14:30;30.08.2025 14:45;21,500;0,000;-
30.08.2025 14:45;30.08.2025 15:00;21,500;0,000;-
30.08.2025 15:00;30.08.2025 15:15;19,250;0,000;-
30.08.2025 15:15;30.08.2025 15:30;19,250;0,000;-
30.08.2025 15:30;30.08.2025 15:45;19,250;0,000;-
30.08.2025 15:45;30.08.2025 16:00;19,250;0,000;-
30.08.2025 16:00;30.08.2025 16:15;25,750;0,000;-
30.08.2025 16:15;30.08.2025 16:30;25,750;0,000;-
30.08.2025 16:30;30.08.2025 16:45;25,750;0,000;-
30.08.2025 16:45;30.08.2025 17:00;25,750;0,000;-
30.08.2025 17:00;30.08.2025 17:15;48,000;0,000;-
30.08.2025 17:15;30.08.2025 17:30;48,000;0,000;-
30.08.2025 17:30;30.08.2025 17:45;48,000;0,000;-
