Datum von;Datum bis;Generation_DE Block A [MW] Berechnete Auflösungen
27.08.2025 02:30;27.08.2025 02:45;129,000
27.08.2025 02:45;27.08.2025 03:00;129,000
27.08.2025 03:00;27.08.2025 03:15;128,250
27.08.2025 03:15;27.08.2025 03:30;128,250
27.08.2025 03:30;27.08.2025 03:45;128,250
27.08.2025 03:45;27.08.2025 04:00;128,250
27.08.2025 04:00;27.08.2025 04:15;128,750
27.08.2025 04:15;27.08.2025 04:30;128,750
27.08.2025 04:30;27.08.2025 04:45;128,750
27.08.2025 04:45;27.08.2025 05:00;128,750
27.08.2025 05:00;27.08.2025 05:15;128,750
27.08.2025 05:15;27.08.2025 05:30;128,750
27.08.2025 05:30;27.08.2025 05:45;128,750
27.08.2025 05:45;27.08.2025 06:00;128,750
27.08.2025 06:00;27.08.2025 06:15;128,750
27.08.2025 06:15;27.08.2025 06:30;128,750
27.08.2025 06:30;27.08.2025 06:45;128,750
27.08.2025 06:45;27.08.2025 07:00;128,750
27.08.2025 07:00;27.08.2025 07:15;129,000
27.08.2025 07:15;27.08.2025 07:30;129,000
27.08.2025 07:30;27.08.2025 07:45;129,000
27.08.2025 07:45;27.08.2025 08:00;129,000
27.08.2025 08:00;27.08.2025 08:15;129,000
27.08.2025 08:15;27.08.2025 08:30;129,000
27.08.2025 08:30;27.08.2025 08:45;129,000
27.08.2025 08:45;27.08.2025 09:00;129,000
27.08.2025 09:00;27.08.2025 09:15;114,000
27.08.2025 09:15;27.08.2025 09:30;114,000
27.08.2025 09:30;27.08.2025 09:45;114,000
27.08.2025 09:45;27.08.2025 10:00;114,000
27.08.2025 10:00;27.08.2025 10:15;90,750
27.08.2025 10:15;27.08.2025 10:30;90,750
27.08.2025 10:30;27.08.2025 10:45;90,750
27.08.2025 10:45;27.08.2025 11:00;90,750
27.08.2025 11:00;27.08.2025 11:15;66,500
27.08.2025 11:15;27.08.2025 11:30;66,500
27.08.2025 11:30;27.08.2025 11:45;66,500
27.08.2025 11:45;27.08.2025 12:00;66,500
27.08.2025 12:00;27.08.2025 12:15;67,000
27.08.2025 12:15;27.08.2025 12:30;67,000
27.08.2025 12:30;27.08.2025 12:45;67,000
27.08.2025 12:45;27.08.2025 13:00;67,000
27.08.2025 13:00;27.08.2025 13:15;67,000
27.08.2025 13:15;27.08.2025 13:30;67,000
27.08.2025 13:30;27.08.2025 13:45;67,000
27.08.2025 13:45;27.08.2025 14:00;67,000
27.08.2025 14:00;27.08.2025 14:15;67,000
27.08.2025 14:15;27.08.2025 14:30;67,000
27.08.2025 14:30;27.08.2025 14:45;67,000
27.08.2025 14:45;27.08.2025 15:00;67,000
27.08.2025 15:00;27.08.2025 15:15;70,500
27.08.2025 15:15;27.08.2025 15:30;70,500
27.08.2025 15:30;27.08.2025 15:45;70,500
27.08.2025 15:45;27.08.2025 16:00;70,500
27.08.2025 16:00;27.08.2025 16:15;104,000
27.08.2025 16:15;27.08.2025 16:30;104,000
27.08.2025 16:30;27.08.2025 16:45;104,000
27.08.2025 16:45;27.08.2025 17:00;104,000
27.08.2025 17:00;27.08.2025 17:15;127,500
27.08.2025 17:15;27.08.2025 17:30;127,500
27.08.2025 17:30;27.08.2025 17:45;127,500
27.08.2025 17:45;27.08.2025 18:00;127,500
27.08.2025 18:00;27.08.2025 18:15;126,500
27.08.2025 18:15;27.08.2025 18:30;126,500
27.08.2025 18:30;27.08.2025 18:45;126,500
27.08.2025 18:45;27.08.2025 19:00;126,500
27.08.2025 19:00;27.08.2025 19:15;127,250
27.08.2025 19:15;27.08.2025 19:30;127,250
27.08.2025 19:30;27.08.2025 19:45;127,250
27.08.2025 19:45;27.08.2025 20:00;127,250
27.08.2025 20:00;27.08.2025 20:15;126,500
27.08.2025 20:15;27.08.2025 20:30;126,500
27.08.2025 20:30;27.08.2025 20:45;126,500
27.08.2025 20:45;27.08.2025 21:00;126,500
27.08.2025 21:00;27.08.2025 21:15;126,500
27.08.2025 21:15;27.08.2025 21:30;126,500
27.08.2025 21:30;27.08.2025 21:45;126,500
27.08.2025 21:45;27.08.2025 22:00;126,500
27.08.2025 22:00;27.08.2025 22:15;127,000
27.08.2025 22:15;27.08.2025 22:30;127,000
27.08.2025 22:30;27.08.2025 22:45;127,000
27.08.2025 22:45;27.08.2025 23:00;127,000
27.08.2025 23:00;27.08.2025 23:15;126,250
27.08.2025 23:15;27.08.2025 23:30;126,250
27.08.2025 23:30;27.08.2025 23:45;126,250
27.08.2025 23:45;28.08.2025 00:00;126,250
28.08.2025 00:00;28.08.2025 00:15;127,250
28.08.2025 00:15;28.08.2025 00:30;127,250
28.08.2025 00:30;28.08.2025 00:45;127,250
28.08.2025 00:45;28.08.2025 01:00;127,250
28.08.2025 01:00;28.08.2025 01:15;127,000
28.08.2025 01:15;28.08.2025 01:30;127,000
28.08.2025 01:30;28.08.2025 01:45;127,000
28.08.2025 01:45;28.08.2025 02:00;127,000
28.08.2025 02:00;28.08.2025 02:15;127,250
28.08.2025 02:15;28.08.2025 02:30;127,250
28.08.2025 02:30;28.08.2025 02:45;127,250
28.08.2025 02:45;28.08.2025 03:00;127,250
28.08.2025 03:00;28.08.2025 03:15;128,250
28.08.2025 03:15;28.08.2025 03:30;128,250
28.08.2025 03:30;28.08.2025 03:45;128,250
28.08.2025 03:45;28.08.2025 04:00;128,250
28.08.2025 04:00;28.08.2025 04:15;128,000
28.08.2025 04:15;28.08.2025 04:30;128,000
28.08.2025 04:30;28.08.2025 04:45;128,000
28.08.2025 04:45;28.08.2025 05:00;128,000
28.08.2025 05:00;28.08.2025 05:15;127,500
28.08.2025 05:15;28.08.2025 05:30;127,500
28.08.2025 05:30;28.08.2025 05:45;127,500
28.08.2025 05:45;28.08.2025 06:00;127,500
28.08.2025 06:00;28.08.2025 06:15;127,750
28.08.2025 06:15;28.08.2025 06:30;127,750
28.08.2025 06:30;28.08.2025 06:45;127,750
28.08.2025 06:45;28.08.2025 07:00;127,750
28.08.2025 07:00;28.08.2025 07:15;127,250
28.08.2025 07:15;28.08.2025 07:30;127,250
28.08.2025 07:30;28.08.2025 07:45;127,250
28.08.2025 07:45;28.08.2025 08:00;127,250
28.08.2025 08:00;28.08.2025 08:15;127,250
28.08.2025 08:15;28.08.2025 08:30;127,250
28.08.2025 08:30;28.08.2025 08:45;127,250
28.08.2025 08:45;28.08.2025 09:00;127,250
28.08.2025 09:00;28.08.2025 09:15;127,000
28.08.2025 09:15;28.08.2025 09:30;127,000
28.08.2025 09:30;28.08.2025 09:45;127,000
28.08.2025 09:45;28.08.2025 10:00;127,000
28.08.2025 10:00;28.08.2025 10:15;127,500
28.08.2025 10:15;28.08.2025 10:30;127,500
28.08.2025 10:30;28.08.2025 10:45;127,500
28.08.2025 10:45;28.08.2025 11:00;127,500
28.08.2025 11:00;28.08.2025 11:15;127,250
28.08.2025 11:15;28.08.2025 11:30;127,250
28.08.2025 11:30;28.08.2025 11:45;127,250
28.08.2025 11:45;28.08.2025 12:00;127,250
28.08.2025 12:00;28.08.2025 12:15;126,500
28.08.2025 12:15;28.08.2025 12:30;126,500
28.08.2025 12:30;28.08.2025 12:45;126,500
28.08.2025 12:45;28.08.2025 13:00;126,500
28.08.2025 13:00;28.08.2025 13:15;126,500
28.08.2025 13:15;28.08.2025 13:30;126,500
28.08.2025 13:30;28.08.2025 13:45;126,500
28.08.2025 13:45;28.08.2025 14:00;126,500
28.08.2025 14:00;28.08.2025 14:15;126,750
28.08.2025 14:15;28.08.2025 14:30;126,750
28.08.2025 14:30;28.08.2025 14:45;126,750
28.08.2025 14:45;28.08.2025 15:00;126,750
28.08.2025 15:00;28.08.2025 15:15;126,750
28.08.2025 15:15;28.08.2025 15:30;126,750
28.08.2025 15:30;28.08.2025 15:45;126,750
28.08.2025 15:45;28.08.2025 16:00;126,750
28.08.2025 16:00;28.08.2025 16:15;126,000
28.08.2025 16:15;28.08.2025 16:30;126,000
28.08.2025 16:30;28.08.2025 16:45;126,000
28.08.2025 16:45;28.08.2025 17:00;126,000
28.08.2025 17:00;28.08.2025 17:15;125,750
28.08.2025 17:15;28.08.2025 17:30;125,750
28.08.2025 17:30;28.08.2025 17:45;125,750
28.08.2025 17:45;28.08.2025 18:00;125,750
28.08.2025 18:00;28.08.2025 18:15;126,250
28.08.2025 18:15;28.08.2025 18:30;126,250
28.08.2025 18:30;28.08.2025 18:45;126,250
28.08.2025 18:45;28.08.2025 19:00;126,250
28.08.2025 19:00;28.08.2025 19:15;126,750
28.08.2025 19:15;28.08.2025 19:30;126,750
28.08.2025 19:30;28.08.2025 19:45;126,750
28.08.2025 19:45;28.08.2025 20:00;126,750
28.08.2025 20:00;28.08.2025 20:15;127,000
