Datum von;Datum bis;Generation_DE HKW 2 GT E [MW] Berechnete Auflösungen;Generation_DE Block 4 GT A [MW] Berechnete Auflösungen;Generation_DE GT B [MW] Berechnete Auflösungen;Generation_DE GT C [MW] Berechnete Auflösungen;Generation_DE HKW 2 DT [MW] Berechnete Auflösungen;Generation_DE HKW 1 [MW] Berechnete Auflösungen
26.08.2025 21:15;26.08.2025 21:30;-;-;-;-;53,500;-
26.08.2025 21:30;26.08.2025 21:45;-;-;-;-;53,500;-
26.08.2025 21:45;26.08.2025 22:00;-;-;-;-;53,500;-
26.08.2025 22:00;26.08.2025 22:15;-;-;-;-;53,500;-
26.08.2025 22:15;26.08.2025 22:30;-;-;-;-;53,500;-
26.08.2025 22:30;26.08.2025 22:45;-;-;-;-;53,500;-
26.08.2025 22:45;26.08.2025 23:00;-;-;-;-;53,500;-
26.08.2025 23:00;26.08.2025 23:15;-;-;-;-;53,500;-
26.08.2025 23:15;26.08.2025 23:30;-;-;-;-;53,500;-
26.08.2025 23:30;26.08.2025 23:45;-;-;-;-;53,500;-
26.08.2025 23:45;27.08.2025 00:00;-;-;-;-;53,500;-
27.08.2025 00:00;27.08.2025 00:15;-;-;-;-;42,500;-
27.08.2025 00:15;27.08.2025 00:30;-;-;-;-;42,500;-
27.08.2025 00:30;27.08.2025 00:45;-;-;-;-;42,500;-
27.08.2025 00:45;27.08.2025 01:00;-;-;-;-;42,500;-
27.08.2025 01:00;27.08.2025 01:15;-;-;-;-;29,000;-
27.08.2025 01:15;27.08.2025 01:30;-;-;-;-;29,000;-
27.08.2025 01:30;27.08.2025 01:45;-;-;-;-;29,000;-
27.08.2025 01:45;27.08.2025 02:00;-;-;-;-;29,000;-
27.08.2025 02:00;27.08.2025 02:15;-;-;-;-;29,500;-
27.08.2025 02:15;27.08.2025 02:30;-;-;-;-;29,500;-
27.08.2025 02:30;27.08.2025 02:45;-;-;-;-;29,500;-
27.08.2025 02:45;27.08.2025 03:00;-;-;-;-;29,500;-
27.08.2025 03:00;27.08.2025 03:15;-;-;-;-;29,250;-
27.08.2025 03:15;27.08.2025 03:30;-;-;-;-;29,250;-
27.08.2025 03:30;27.08.2025 03:45;-;-;-;-;29,250;-
27.08.2025 03:45;27.08.2025 04:00;-;-;-;-;29,250;-
27.08.2025 04:00;27.08.2025 04:15;-;-;-;-;29,000;-
27.08.2025 04:15;27.08.2025 04:30;-;-;-;-;29,000;-
27.08.2025 04:30;27.08.2025 04:45;-;-;-;-;29,000;-
27.08.2025 04:45;27.08.2025 05:00;-;-;-;-;29,000;-
27.08.2025 05:00;27.08.2025 05:15;-;-;-;-;31,750;-
27.08.2025 05:15;27.08.2025 05:30;-;-;-;-;31,750;-
27.08.2025 05:30;27.08.2025 05:45;-;-;-;-;31,750;-
27.08.2025 05:45;27.08.2025 06:00;-;-;-;-;31,750;-
27.08.2025 06:00;27.08.2025 06:15;-;-;-;-;52,250;-
27.08.2025 06:15;27.08.2025 06:30;-;-;-;-;52,250;-
27.08.2025 06:30;27.08.2025 06:45;-;-;-;-;52,250;-
27.08.2025 06:45;27.08.2025 07:00;-;-;-;-;52,250;-
27.08.2025 07:00;27.08.2025 07:15;-;-;-;-;53,500;-
27.08.2025 07:15;27.08.2025 07:30;-;-;-;-;53,500;-
27.08.2025 07:30;27.08.2025 07:45;-;-;-;-;53,500;-
27.08.2025 07:45;27.08.2025 08:00;-;-;-;-;53,500;-
27.08.2025 08:00;27.08.2025 08:15;-;-;-;-;53,500;-
27.08.2025 08:15;27.08.2025 08:30;-;-;-;-;53,500;-
27.08.2025 08:30;27.08.2025 08:45;-;-;-;-;53,500;-
27.08.2025 08:45;27.08.2025 09:00;-;-;-;-;53,500;-
27.08.2025 09:00;27.08.2025 09:15;-;-;-;-;50,250;-
27.08.2025 09:15;27.08.2025 09:30;-;-;-;-;50,250;-
27.08.2025 09:30;27.08.2025 09:45;-;-;-;-;50,250;-
27.08.2025 09:45;27.08.2025 10:00;-;-;-;-;50,250;-
27.08.2025 10:00;27.08.2025 10:15;-;-;-;-;33,000;-
27.08.2025 10:15;27.08.2025 10:30;-;-;-;-;33,000;-
27.08.2025 10:30;27.08.2025 10:45;-;-;-;-;33,000;-
27.08.2025 10:45;27.08.2025 11:00;-;-;-;-;33,000;-
27.08.2025 11:00;27.08.2025 11:15;-;-;-;-;30,500;-
27.08.2025 11:15;27.08.2025 11:30;-;-;-;-;30,500;-
27.08.2025 11:30;27.08.2025 11:45;-;-;-;-;30,500;-
27.08.2025 11:45;27.08.2025 12:00;-;-;-;-;30,500;-
27.08.2025 12:00;27.08.2025 12:15;-;-;-;-;30,500;-
27.08.2025 12:15;27.08.2025 12:30;-;-;-;-;30,500;-
27.08.2025 12:30;27.08.2025 12:45;-;-;-;-;30,500;-
27.08.2025 12:45;27.08.2025 13:00;-;-;-;-;30,500;-
27.08.2025 13:00;27.08.2025 13:15;-;-;-;-;30,500;-
27.08.2025 13:15;27.08.2025 13:30;-;-;-;-;30,500;-
27.08.2025 13:30;27.08.2025 13:45;-;-;-;-;30,500;-
27.08.2025 13:45;27.08.2025 14:00;-;-;-;-;30,500;-
27.08.2025 14:00;27.08.2025 14:15;-;-;-;-;30,750;-
27.08.2025 14:15;27.08.2025 14:30;-;-;-;-;30,750;-
27.08.2025 14:30;27.08.2025 14:45;-;-;-;-;30,750;-
27.08.2025 14:45;27.08.2025 15:00;-;-;-;-;30,750;-
27.08.2025 15:00;27.08.2025 15:15;-;-;-;-;30,750;-
27.08.2025 15:15;27.08.2025 15:30;-;-;-;-;30,750;-
27.08.2025 15:30;27.08.2025 15:45;-;-;-;-;30,750;-
27.08.2025 15:45;27.08.2025 16:00;-;-;-;-;30,750;-
27.08.2025 16:00;27.08.2025 16:15;-;-;-;-;31,250;-
27.08.2025 16:15;27.08.2025 16:30;-;-;-;-;31,250;-
27.08.2025 16:30;27.08.2025 16:45;-;-;-;-;31,250;-
27.08.2025 16:45;27.08.2025 17:00;-;-;-;-;31,250;-
27.08.2025 17:00;27.08.2025 17:15;-;-;-;-;49,750;-
27.08.2025 17:15;27.08.2025 17:30;-;-;-;-;49,750;-
27.08.2025 17:30;27.08.2025 17:45;-;-;-;-;49,750;-
27.08.2025 17:45;27.08.2025 18:00;-;-;-;-;49,750;-
27.08.2025 18:00;27.08.2025 18:15;-;-;-;-;53,750;-
27.08.2025 18:15;27.08.2025 18:30;-;-;-;-;53,750;-
27.08.2025 18:30;27.08.2025 18:45;-;-;-;-;53,750;-
27.08.2025 18:45;27.08.2025 19:00;-;-;-;-;53,750;-
27.08.2025 19:00;27.08.2025 19:15;-;-;-;-;53,750;-
27.08.2025 19:15;27.08.2025 19:30;-;-;-;-;53,750;-
27.08.2025 19:30;27.08.2025 19:45;-;-;-;-;53,750;-
27.08.2025 19:45;27.08.2025 20:00;-;-;-;-;53,750;-
27.08.2025 20:00;27.08.2025 20:15;-;-;-;-;53,500;-
27.08.2025 20:15;27.08.2025 20:30;-;-;-;-;53,500;-
27.08.2025 20:30;27.08.2025 20:45;-;-;-;-;53,500;-
27.08.2025 20:45;27.08.2025 21:00;-;-;-;-;53,500;-
27.08.2025 21:00;27.08.2025 21:15;-;-;-;-;54,000;-
27.08.2025 21:15;27.08.2025 21:30;-;-;-;-;54,000;-
27.08.2025 21:30;27.08.2025 21:45;-;-;-;-;54,000;-
27.08.2025 21:45;27.08.2025 22:00;-;-;-;-;54,000;-
27.08.2025 22:00;27.08.2025 22:15;-;-;-;-;53,750;-
27.08.2025 22:15;27.08.2025 22:30;-;-;-;-;53,750;-
27.08.2025 22:30;27.08.2025 22:45;-;-;-;-;53,750;-
27.08.2025 22:45;27.08.2025 23:00;-;-;-;-;53,750;-
27.08.2025 23:00;27.08.2025 23:15;-;-;-;-;53,750;-
27.08.2025 23:15;27.08.2025 23:30;-;-;-;-;53,750;-
27.08.2025 23:30;27.08.2025 23:45;-;-;-;-;53,750;-
27.08.2025 23:45;28.08.2025 00:00;-;-;-;-;53,750;-
28.08.2025 00:00;28.08.2025 00:15;-;-;-;-;53,000;-
28.08.2025 00:15;28.08.2025 00:30;-;-;-;-;53,000;-
28.08.2025 00:30;28.08.2025 00:45;-;-;-;-;53,000;-
28.08.2025 00:45;28.08.2025 01:00;-;-;-;-;53,000;-
28.08.2025 01:00;28.08.2025 01:15;-;-;-;-;31,750;-
28.08.2025 01:15;28.08.2025 01:30;-;-;-;-;31,750;-
28.08.2025 01:30;28.08.2025 01:45;-;-;-;-;31,750;-
28.08.2025 01:45;28.08.2025 02:00;-;-;-;-;31,750;-
28.08.2025 02:00;28.08.2025 02:15;-;-;-;-;29,500;-
28.08.2025 02:15;28.08.2025 02:30;-;-;-;-;29,500;-
28.08.2025 02:30;28.08.2025 02:45;-;-;-;-;29,500;-
28.08.2025 02:45;28.08.2025 03:00;-;-;-;-;29,500;-
28.08.2025 03:00;28.08.2025 03:15;-;-;-;-;29,250;-
28.08.2025 03:15;28.08.2025 03:30;-;-;-;-;29,250;-
28.08.2025 03:30;28.08.2025 03:45;-;-;-;-;29,250;-
28.08.2025 03:45;28.08.2025 04:00;-;-;-;-;29,250;-
