Datum von;Datum bis;Generation_DE Block B [MW] Berechnete Auflösungen;Generation_DE Block A [MW] Berechnete Auflösungen;Generation_DE Block C [MW] Berechnete Auflösungen;Generation_DE Block D [MW] Berechnete Auflösungen;Generation_DE Block E [MW] Berechnete Auflösungen;Generation_DE Bock F [MW] Berechnete Auflösungen
26.08.2025 14:15;26.08.2025 14:30;16,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 14:30;26.08.2025 14:45;16,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 14:45;26.08.2025 15:00;16,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 15:00;26.08.2025 15:15;20,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 15:15;26.08.2025 15:30;20,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 15:30;26.08.2025 15:45;20,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 15:45;26.08.2025 16:00;20,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 16:00;26.08.2025 16:15;20,750;0,000;0,000;0,000;0,000;0,000
26.08.2025 16:15;26.08.2025 16:30;20,750;0,000;0,000;0,000;0,000;0,000
26.08.2025 16:30;26.08.2025 16:45;20,750;0,000;0,000;0,000;0,000;0,000
26.08.2025 16:45;26.08.2025 17:00;20,750;0,000;0,000;0,000;0,000;0,000
26.08.2025 17:00;26.08.2025 17:15;29,500;0,000;0,000;7,250;0,000;0,000
26.08.2025 17:15;26.08.2025 17:30;29,500;0,000;0,000;7,250;0,000;0,000
26.08.2025 17:30;26.08.2025 17:45;29,500;0,000;0,000;7,250;0,000;0,000
26.08.2025 17:45;26.08.2025 18:00;29,500;0,000;0,000;7,250;0,000;0,000
26.08.2025 18:00;26.08.2025 18:15;36,500;0,000;0,000;21,000;21,250;21,000
26.08.2025 18:15;26.08.2025 18:30;36,500;0,000;0,000;21,000;21,250;21,000
26.08.2025 18:30;26.08.2025 18:45;36,500;0,000;0,000;21,000;21,250;21,000
