Datum von;Datum bis;Generation_DE Weisweiler G VGT [MW] Berechnete Auflösungen;Generation_DE Weisweiler H VGT [MW] Berechnete Auflösungen;Generation_DE Weisweiler F [MW] Berechnete Auflösungen;Generation_DE Weisweiler G [MW] Berechnete Auflösungen;Generation_DE Weisweiler H [MW] Berechnete Auflösungen;Generation_DE Weisweiler [MW] Berechnete Auflösungen;Generation_DE Weisweiler [MW] Berechnete Auflösungen;Generation_DE Weisweiler E [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;0,000;0,000;-;162,000;163,000;-;-;-
26.08.2025 00:15;26.08.2025 00:30;0,000;0,000;-;162,000;163,000;-;-;-
26.08.2025 00:30;26.08.2025 00:45;0,000;0,000;-;162,000;163,000;-;-;-
26.08.2025 00:45;26.08.2025 01:00;0,000;0,000;-;162,000;163,000;-;-;-
26.08.2025 01:00;26.08.2025 01:15;0,000;0,000;-;162,000;164,750;-;-;-
26.08.2025 01:15;26.08.2025 01:30;0,000;0,000;-;162,000;164,750;-;-;-
26.08.2025 01:30;26.08.2025 01:45;0,000;0,000;-;162,000;164,750;-;-;-
26.08.2025 01:45;26.08.2025 02:00;0,000;0,000;-;162,000;164,750;-;-;-
26.08.2025 02:00;26.08.2025 02:15;0,000;0,000;-;162,750;164,750;-;-;-
26.08.2025 02:15;26.08.2025 02:30;0,000;0,000;-;162,750;164,750;-;-;-
26.08.2025 02:30;26.08.2025 02:45;0,000;0,000;-;162,750;164,750;-;-;-
26.08.2025 02:45;26.08.2025 03:00;0,000;0,000;-;162,750;164,750;-;-;-
26.08.2025 03:00;26.08.2025 03:15;0,000;0,000;-;162,250;164,750;-;-;-
26.08.2025 03:15;26.08.2025 03:30;0,000;0,000;-;162,250;164,750;-;-;-
26.08.2025 03:30;26.08.2025 03:45;0,000;0,000;-;162,250;164,750;-;-;-
26.08.2025 03:45;26.08.2025 04:00;0,000;0,000;-;162,250;164,750;-;-;-
26.08.2025 04:00;26.08.2025 04:15;0,000;0,000;-;162,250;165,000;-;-;-
