Datum von;Datum bis;Generation_DE Block N [MW] Berechnete Auflösungen;Generation_DE Block R [MW] Berechnete Auflösungen;Generation_DE Block P [MW] Berechnete Auflösungen;Generation_DE Block Q [MW] Berechnete Auflösungen
26.08.2025 17:30;26.08.2025 17:45;0,000;0,000;99,250;204,250
26.08.2025 17:45;26.08.2025 18:00;0,000;0,000;99,250;204,250
26.08.2025 18:00;26.08.2025 18:15;0,000;0,000;100,500;204,500
26.08.2025 18:15;26.08.2025 18:30;0,000;0,000;100,500;204,500
26.08.2025 18:30;26.08.2025 18:45;0,000;0,000;100,500;204,500
26.08.2025 18:45;26.08.2025 19:00;0,000;0,000;100,500;204,500
26.08.2025 19:00;26.08.2025 19:15;0,000;0,000;108,500;204,750
26.08.2025 19:15;26.08.2025 19:30;0,000;0,000;108,500;204,750
26.08.2025 19:30;26.08.2025 19:45;0,000;0,000;108,500;204,750
26.08.2025 19:45;26.08.2025 20:00;0,000;0,000;108,500;204,750
26.08.2025 20:00;26.08.2025 20:15;0,000;0,000;102,750;205,250
26.08.2025 20:15;26.08.2025 20:30;0,000;0,000;102,750;205,250
26.08.2025 20:30;26.08.2025 20:45;0,000;0,000;102,750;205,250
26.08.2025 20:45;26.08.2025 21:00;0,000;0,000;102,750;205,250
26.08.2025 21:00;26.08.2025 21:15;0,000;0,000;101,000;203,250
26.08.2025 21:15;26.08.2025 21:30;0,000;0,000;101,000;203,250
26.08.2025 21:30;26.08.2025 21:45;0,000;0,000;101,000;203,250
26.08.2025 21:45;26.08.2025 22:00;0,000;0,000;101,000;203,250
26.08.2025 22:00;26.08.2025 22:15;0,000;0,000;100,750;198,500
26.08.2025 22:15;26.08.2025 22:30;0,000;0,000;100,750;198,500
26.08.2025 22:30;26.08.2025 22:45;0,000;0,000;100,750;198,500
26.08.2025 22:45;26.08.2025 23:00;0,000;0,000;100,750;198,500
26.08.2025 23:00;26.08.2025 23:15;0,000;0,000;82,500;140,750
26.08.2025 23:15;26.08.2025 23:30;0,000;0,000;82,500;140,750
26.08.2025 23:30;26.08.2025 23:45;0,000;0,000;82,500;140,750
26.08.2025 23:45;27.08.2025 00:00;0,000;0,000;82,500;140,750
27.08.2025 00:00;27.08.2025 00:15;0,000;0,000;78,500;126,750
27.08.2025 00:15;27.08.2025 00:30;0,000;0,000;78,500;126,750
27.08.2025 00:30;27.08.2025 00:45;0,000;0,000;78,500;126,750
27.08.2025 00:45;27.08.2025 01:00;0,000;0,000;78,500;126,750
27.08.2025 01:00;27.08.2025 01:15;0,000;0,000;77,000;125,750
27.08.2025 01:15;27.08.2025 01:30;0,000;0,000;77,000;125,750
27.08.2025 01:30;27.08.2025 01:45;0,000;0,000;77,000;125,750
27.08.2025 01:45;27.08.2025 02:00;0,000;0,000;77,000;125,750
27.08.2025 02:00;27.08.2025 02:15;0,000;0,000;76,250;126,000
27.08.2025 02:15;27.08.2025 02:30;0,000;0,000;76,250;126,000
27.08.2025 02:30;27.08.2025 02:45;0,000;0,000;76,250;126,000
27.08.2025 02:45;27.08.2025 03:00;0,000;0,000;76,250;126,000
27.08.2025 03:00;27.08.2025 03:15;0,000;0,000;74,500;156,250
27.08.2025 03:15;27.08.2025 03:30;0,000;0,000;74,500;156,250
27.08.2025 03:30;27.08.2025 03:45;0,000;0,000;74,500;156,250
27.08.2025 03:45;27.08.2025 04:00;0,000;0,000;74,500;156,250
27.08.2025 04:00;27.08.2025 04:15;0,000;0,000;80,000;185,750
27.08.2025 04:15;27.08.2025 04:30;0,000;0,000;80,000;185,750
27.08.2025 04:30;27.08.2025 04:45;0,000;0,000;80,000;185,750
27.08.2025 04:45;27.08.2025 05:00;0,000;0,000;80,000;185,750
27.08.2025 05:00;27.08.2025 05:15;0,000;0,000;103,000;187,000
27.08.2025 05:15;27.08.2025 05:30;0,000;0,000;103,000;187,000
27.08.2025 05:30;27.08.2025 05:45;0,000;0,000;103,000;187,000
27.08.2025 05:45;27.08.2025 06:00;0,000;0,000;103,000;187,000
27.08.2025 06:00;27.08.2025 06:15;0,000;0,000;104,500;187,750
27.08.2025 06:15;27.08.2025 06:30;0,000;0,000;104,500;187,750
27.08.2025 06:30;27.08.2025 06:45;0,000;0,000;104,500;187,750
27.08.2025 06:45;27.08.2025 07:00;0,000;0,000;104,500;187,750
27.08.2025 07:00;27.08.2025 07:15;0,000;0,000;106,000;197,250
27.08.2025 07:15;27.08.2025 07:30;0,000;0,000;106,000;197,250
27.08.2025 07:30;27.08.2025 07:45;0,000;0,000;106,000;197,250
27.08.2025 07:45;27.08.2025 08:00;0,000;0,000;106,000;197,250
27.08.2025 08:00;27.08.2025 08:15;0,000;0,000;85,250;202,250
27.08.2025 08:15;27.08.2025 08:30;0,000;0,000;85,250;202,250
27.08.2025 08:30;27.08.2025 08:45;0,000;0,000;85,250;202,250
27.08.2025 08:45;27.08.2025 09:00;0,000;0,000;85,250;202,250
27.08.2025 09:00;27.08.2025 09:15;0,000;0,000;84,500;150,750
27.08.2025 09:15;27.08.2025 09:30;0,000;0,000;84,500;150,750
27.08.2025 09:30;27.08.2025 09:45;0,000;0,000;84,500;150,750
27.08.2025 09:45;27.08.2025 10:00;0,000;0,000;84,500;150,750
27.08.2025 10:00;27.08.2025 10:15;0,000;0,000;67,750;144,500
27.08.2025 10:15;27.08.2025 10:30;0,000;0,000;67,750;144,500
27.08.2025 10:30;27.08.2025 10:45;0,000;0,000;67,750;144,500
27.08.2025 10:45;27.08.2025 11:00;0,000;0,000;67,750;144,500
27.08.2025 11:00;27.08.2025 11:15;0,000;0,000;33,000;144,500
27.08.2025 11:15;27.08.2025 11:30;0,000;0,000;33,000;144,500
27.08.2025 11:30;27.08.2025 11:45;0,000;0,000;33,000;144,500
27.08.2025 11:45;27.08.2025 12:00;0,000;0,000;33,000;144,500
