timestamp,delta_generation,delta_emissions,delta_estimated_emissions,intercept_scaled,mef_scaled,mef_t_MWh,mef_g_kWh,intercept
2022-12-30 15:15:00+00:00,0.3959,0.1781,0.5024,0.0124,1.0359,0.7344,734.4484,0.5425
2022-12-30 15:30:00+00:00,0.4967,-0.2374,0.1882,0.0101,1.0389,0.7366,736.5961,0.4635
2022-12-30 15:45:00+00:00,1.3285,0.8852,0.8911,0.0077,1.0432,0.7397,739.6662,0.3778
2022-12-30 16:00:00+00:00,1.2428,1.1910,1.2420,0.0051,1.0481,0.7432,743.1546,0.2891
2022-12-30 16:15:00+00:00,0.4312,0.3367,0.5638,0.0019,1.0580,0.7502,750.1595,0.1752
2022-12-30 16:30:00+00:00,0.0531,-0.3210,-0.1618,-0.0005,1.0616,0.7527,752.6748,0.0935
2022-12-30 16:45:00+00:00,0.1187,-0.2004,-0.3184,-0.0041,1.0737,0.7613,761.2656,-0.0319
2022-12-30 17:00:00+00:00,0.2245,0.0108,-0.0832,-0.0079,1.0872,0.7709,770.8689,-0.1646
2022-12-30 17:15:00+00:00,-0.3098,-0.4421,-0.4246,-0.0103,1.0915,0.7739,773.8755,-0.2498
2022-12-30 17:30:00+00:00,-0.2796,-0.0058,-0.6094,-0.0096,1.0745,0.7618,761.8297,-0.2266
2022-12-30 17:45:00+00:00,-0.3855,-0.0803,-0.6952,-0.0119,1.0780,0.7643,764.3382,-0.3082
2022-12-30 18:00:00+00:00,-0.5669,-0.6239,-0.8373,-0.0174,1.1030,0.7820,782.0292,-0.4991
2022-12-30 18:15:00+00:00,0.0077,-0.1360,-0.2174,-0.0220,1.1216,0.7953,795.2671,-0.6580
2022-12-30 18:30:00+00:00,-0.0527,-0.4260,0.0472,-0.0239,1.1221,0.7956,795.5919,-0.7239
2022-12-30 18:45:00+00:00,0.0481,-0.2645,0.0071,-0.0302,1.1530,0.8175,817.4976,-0.9452
2022-12-30 19:00:00+00:00,0.5572,0.6989,0.6717,-0.0560,1.3151,0.9325,932.4549,-1.8364
2022-12-30 19:15:00+00:00,0.0128,-0.0385,0.0990,-0.0653,1.3655,0.9681,968.1328,-2.1568
2022-12-30 19:30:00+00:00,0.7740,1.0844,1.0024,-0.0685,1.3752,0.9750,975.0238,-2.2700
2022-12-30 19:45:00+00:00,-1.2072,-1.9839,-1.4786,-0.0692,1.3674,0.9695,969.5346,-2.2940
2022-12-30 20:00:00+00:00,-0.0376,-0.2440,-0.2769,-0.0629,1.3127,0.9308,930.7616,-2.0784
2022-12-30 20:15:00+00:00,0.0481,-0.3266,0.0972,-0.0410,1.1526,0.8172,817.2138,-1.3244
2022-12-30 20:30:00+00:00,-0.1132,-0.8059,-0.0419,-0.0388,1.1255,0.7980,797.9998,-1.2496
2022-12-30 20:45:00+00:00,-0.2544,-0.9269,-0.7154,-0.0413,1.1298,0.8011,801.0696,-1.3353
2022-12-30 21:00:00+00:00,-0.5770,-1.0913,-0.9619,-0.0441,1.1364,0.8057,805.7234,-1.4323
2022-12-30 21:15:00+00:00,-0.4661,-0.8665,-0.7726,-0.0469,1.1434,0.8107,810.6986,-1.5317
2022-12-30 21:30:00+00:00,-0.1334,-0.5136,-0.3470,-0.0500,1.1521,0.8168,816.8262,-1.6394
2022-12-30 21:45:00+00:00,-0.4510,-0.8392,-0.1427,-0.0552,1.1751,0.8332,833.1547,-1.8205
2022-12-30 22:00:00+00:00,-1.2324,-1.7496,-1.4224,-0.0632,1.2173,0.8631,863.0657,-2.0994
2022-12-30 22:15:00+00:00,-0.9853,-1.3038,-1.3251,-0.0665,1.2273,0.8702,870.2137,-2.2144
2022-12-30 22:30:00+00:00,-0.1636,-0.0190,-0.1411,-0.0657,1.2091,0.8573,857.2616,-2.1847
2022-12-30 22:45:00+00:00,0.6177,1.1968,1.1168,-0.0622,1.1738,0.8323,832.2569,-2.0682
2022-12-30 23:00:00+00:00,-1.6760,-1.3387,-0.9313,-0.0633,1.1688,0.8287,828.7000,-2.1061
2022-12-30 23:15:00+00:00,-1.1618,-0.9364,-1.2099,-0.0633,1.1688,0.8287,828.7000,-2.1061
2022-12-30 23:30:00+00:00,-2.3716,-2.6777,-2.5908,-0.0687,1.1716,0.8307,830.6785,-2.2938
2022-12-30 23:45:00+00:00,-2.1297,-2.3241,-2.3251,-0.0712,1.1731,0.8317,831.7403,-2.3822
2022-12-31 00:00:00+00:00,-0.3703,-0.3597,-0.2923,-0.0040,1.3593,0.9638,963.7950,-0.0011
2022-12-31 00:15:00+00:00,-0.4006,-0.3346,-0.3239,0.0062,1.3866,0.9832,983.1540,0.3594
2022-12-31 00:30:00+00:00,-0.2443,0.0666,-0.0547,0.0061,1.3864,0.9830,982.9757,0.3567
2022-12-31 00:45:00+00:00,-1.6961,-2.2325,-2.2336,0.0068,1.3879,0.9840,984.0463,0.3811
2022-12-31 01:00:00+00:00,-0.2746,-0.2242,-0.2671,0.0071,1.3881,0.9842,984.1677,0.3901
2022-12-31 01:15:00+00:00,-0.0326,-0.0259,0.0143,0.0074,1.3884,0.9844,984.3760,0.3993
2022-12-31 01:30:00+00:00,0.0330,0.1031,0.1607,0.0076,1.3886,0.9845,984.5320,0.4084
2022-12-31 01:45:00+00:00,0.0229,0.0732,0.1241,0.0078,1.3886,0.9846,984.5801,0.4158
2022-12-31 02:00:00+00:00,-0.0074,0.0101,-0.0030,0.0079,1.3884,0.9844,984.3837,0.4188
2022-12-31 02:15:00+00:00,0.0531,0.1210,0.0988,0.0079,1.3878,0.9840,983.9808,0.4181
2022-12-31 02:30:00+00:00,-0.0074,0.0118,-0.0332,0.0079,1.3873,0.9837,983.6508,0.4187
2022-12-31 02:45:00+00:00,-0.0477,-0.0605,-0.0740,0.0081,1.3874,0.9837,983.6629,0.4242
2022-12-31 03:00:00+00:00,-0.0023,-0.0046,-0.0072,0.0082,1.3872,0.9835,983.5434,0.4303
2022-12-31 03:15:00+00:00,-0.0175,-0.0573,-0.0244,0.0080,1.3860,0.9827,982.7228,0.4230
2022-12-31 03:30:00+00:00,-0.2393,-0.4126,-0.3222,0.0076,1.3842,0.9814,981.4156,0.4080
